start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,2.3255813953488373,1.1627906976744187,undefined,1.0,0.1355622559785843,0.43196815252304077
0.25,2.5755813953488373,1.4127906976744187,undefined,1.0,0.08961397409439087,0.4807446599006653
0.5,2.8255813953488373,1.6627906976744187,undefined,0.9862751960754395,0.8997628688812256,0.044631943106651306
0.75,3.0755813953488373,1.9127906976744187,undefined,0.9999990463256836,0.9452890157699585,0.031223051249980927
1.0,3.3255813953488373,2.162790697674419,nodding,1.0,0.9824830293655396,0.009166695177555084
1.25,3.5755813953488373,2.412790697674419,nodding,1.0,0.9811334013938904,0.008271369151771069
1.5,3.8255813953488373,2.662790697674419,nodding,1.0,0.9824103116989136,0.008602287620306015
1.75,4.075581395348838,2.912790697674419,nodding,1.0,0.9931349754333496,0.0025743714068084955
2.0,4.325581395348838,3.162790697674419,nodding,1.0,0.9891179203987122,0.004862226080149412
2.25,4.575581395348838,3.412790697674419,nodding,1.0,0.9851369857788086,0.007905730046331882
2.5,4.825581395348838,3.662790697674419,nodding,1.0,0.9916862845420837,0.003906063735485077
2.75,5.075581395348838,3.912790697674419,nodding,1.0,0.9852724671363831,0.007280489895492792
3.0,5.325581395348838,4.162790697674419,nodding,1.0,0.9892411828041077,0.005234335549175739
3.25,5.575581395348838,4.412790697674419,nodding,1.0,0.9970433115959167,0.0010198880918323994
3.5,5.825581395348838,4.662790697674419,nodding,1.0,0.9892964959144592,0.005675446707755327
3.75,6.075581395348838,4.912790697674419,nodding,1.0,0.967593252658844,0.01212148554623127
4.0,6.325581395348838,5.162790697674419,undefined,1.0,0.8588436841964722,0.09247735142707825
4.25,6.575581395348838,5.412790697674419,undefined,0.9999943971633911,0.08124905824661255,0.9093626737594604
4.5,6.825581395348838,5.662790697674419,undefined,0.9989095330238342,0.3656049370765686,0.4158581793308258
4.75,7.075581395348838,5.912790697674419,stationary,0.3310610353946686,0.012823235243558884,0.13897579908370972
5.0,7.325581395348838,6.162790697674419,stationary,0.0029811165295541286,0.0051395827904343605,0.5614439845085144
5.25,7.575581395348838,6.412790697674419,undefined,0.999736487865448,0.029247675091028214,0.6451786160469055
5.5,7.825581395348838,6.662790697674419,undefined,0.9971755146980286,0.02144172042608261,0.05196714028716087
5.75,8.075581395348838,6.912790697674419,undefined,0.9318849444389343,0.02677255868911743,0.5920231342315674
6.0,8.325581395348838,7.162790697674419,stationary,0.0713593140244484,0.02004897966980934,0.6101781129837036
6.25,8.575581395348838,7.412790697674419,undefined,0.9897838830947876,0.14378339052200317,0.7645139098167419
6.5,8.825581395348838,7.662790697674419,stationary,0.020794076845049858,0.03689016401767731,0.6779134273529053
6.75,9.075581395348838,7.912790697674419,stationary,0.289958655834198,0.15449543297290802,0.34404242038726807
7.0,9.325581395348838,8.162790697674419,undefined,0.9915979504585266,0.02816433273255825,0.12901552021503448
7.25,9.575581395348838,8.412790697674419,turning,0.9987012147903442,0.03225855529308319,0.9530183672904968
7.5,9.825581395348838,8.662790697674419,undefined,0.9998946189880371,0.0853578969836235,0.8891895413398743
7.75,10.075581395348838,8.912790697674419,undefined,0.9997003078460693,0.07606888562440872,0.9077575206756592
8.0,10.325581395348838,9.162790697674419,turning,0.9999514818191528,0.03404233977198601,0.9509561061859131
8.25,10.575581395348838,9.412790697674419,turning,0.9999854564666748,0.02033306658267975,0.9656645059585571
8.5,10.825581395348838,9.662790697674419,undefined,0.9999952912330627,0.028210213407874107,0.9496787190437317
8.75,11.075581395348838,9.912790697674419,undefined,0.9999949932098389,0.037413354963064194,0.9181163907051086
9.0,11.325581395348838,10.162790697674419,undefined,0.9999995231628418,0.028808018192648888,0.8908407092094421
9.25,11.575581395348838,10.412790697674419,undefined,0.9999992847442627,0.1525305062532425,0.6613810658454895
9.5,11.825581395348838,10.662790697674419,undefined,0.9999943971633911,0.8884470462799072,0.036808304488658905
9.75,12.075581395348838,10.912790697674419,undefined,0.9999938607215881,0.8970020413398743,0.042554568499326706
10.0,12.325581395348838,11.162790697674419,undefined,0.9999991655349731,0.9483181238174438,0.021576672792434692
10.25,12.575581395348838,11.412790697674419,nodding,1.0,0.9820422530174255,0.006474787835031748
10.5,12.825581395348838,11.662790697674419,nodding,1.0,0.9803532361984253,0.006512893363833427
10.75,13.075581395348838,11.912790697674419,nodding,1.0,0.9850040674209595,0.005553931929171085
11.0,13.325581395348838,12.162790697674419,nodding,1.0,0.9853070974349976,0.00619222316890955
11.25,13.575581395348838,12.412790697674419,nodding,1.0,0.9710454344749451,0.011305568739771843
11.5,13.825581395348838,12.662790697674419,nodding,1.0,0.9618080258369446,0.01331300288438797
11.75,14.075581395348838,12.912790697674419,nodding,1.0,0.9712023735046387,0.009388810954988003
12.0,14.325581395348838,13.162790697674419,nodding,1.0,0.9838871359825134,0.005850780289620161
12.25,14.575581395348838,13.412790697674419,nodding,1.0,0.9749428033828735,0.007916973903775215
12.5,14.825581395348838,13.662790697674419,nodding,1.0,0.9757826328277588,0.008988696150481701
12.75,15.075581395348838,13.912790697674419,nodding,1.0,0.9836313724517822,0.004919751547276974
13.0,15.325581395348838,14.162790697674419,nodding,1.0,0.9739174246788025,0.013803492300212383
13.25,15.575581395348838,14.412790697674419,nodding,1.0,0.9727722406387329,0.012709854170680046
13.5,15.825581395348838,14.662790697674419,nodding,1.0,0.9782453179359436,0.009747934527695179
