start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,0.8333333333333334,0.4166666666666667,nodding,1.0,0.9755567908287048,0.013729538768529892
0.25,1.0833333333333335,0.6666666666666667,nodding,1.0,0.9768710732460022,0.010716251097619534
0.5,1.3333333333333335,0.9166666666666667,nodding,1.0,0.9702265858650208,0.011918055824935436
0.75,1.5833333333333335,1.1666666666666667,nodding,1.0,0.9575307369232178,0.017828689888119698
1.0,1.8333333333333335,1.4166666666666667,nodding,1.0,0.9620519280433655,0.018371231853961945
1.25,2.0833333333333335,1.6666666666666667,nodding,1.0,0.9675502181053162,0.016793718561530113
1.5,2.3333333333333335,1.9166666666666667,nodding,1.0,0.9784278869628906,0.01005703303962946
1.75,2.5833333333333335,2.1666666666666665,nodding,1.0,0.9730849266052246,0.01374667976051569
2.0,2.8333333333333335,2.4166666666666665,undefined,0.9999985098838806,0.9041719436645508,0.04906834289431572
2.25,3.0833333333333335,2.6666666666666665,stationary,0.012849005870521069,0.01446631271392107,0.2789575457572937
2.5,3.3333333333333335,2.9166666666666665,undefined,0.9999959468841553,0.022374995052814484,0.9392839670181274
2.75,3.5833333333333335,3.1666666666666665,turning,1.0,0.007170732598751783,0.9847138524055481
3.0,3.8333333333333335,3.4166666666666665,turning,1.0,0.00412371288985014,0.9865602254867554
3.25,4.083333333333333,3.6666666666666665,turning,1.0,0.003319213166832924,0.9913074374198914
3.5,4.333333333333333,3.9166666666666665,turning,1.0,0.009867914952337742,0.9776949286460876
3.75,4.583333333333333,4.166666666666667,turning,1.0,0.010232428088784218,0.9781848192214966
4.0,4.833333333333333,4.416666666666667,turning,1.0,0.011400948278605938,0.9685839414596558
4.25,5.083333333333333,4.666666666666667,turning,0.9999916553497314,0.020426098257303238,0.9524163603782654
4.5,5.333333333333333,4.916666666666667,turning,0.9794667959213257,0.011083620600402355,0.9512746334075928
4.75,5.583333333333333,5.166666666666667,stationary,0.007760859560221434,0.049724213778972626,0.3348090648651123
5.0,5.833333333333333,5.416666666666667,undefined,0.9999427795410156,0.922141432762146,0.03992408886551857
5.25,6.083333333333333,5.666666666666667,nodding,0.9999999403953552,0.9586875438690186,0.01721610315144062
5.5,6.333333333333333,5.916666666666667,nodding,1.0,0.979037880897522,0.010104597546160221
5.75,6.583333333333333,6.166666666666667,nodding,1.0,0.9940894842147827,0.0030232868157327175
6.0,6.833333333333333,6.416666666666667,nodding,0.9999988675117493,0.9909342527389526,0.0053275758400559425
6.25,7.083333333333333,6.666666666666667,nodding,0.9999988079071045,0.9716128706932068,0.014909560792148113
6.5,7.333333333333333,6.916666666666667,undefined,0.9686877131462097,0.6647156476974487,0.26711103320121765
6.75,7.583333333333333,7.166666666666667,stationary,0.016787134110927582,0.12923111021518707,0.19405093789100647
7.0,7.833333333333333,7.416666666666667,stationary,4.045375681016594e-05,0.012393728829920292,0.6912657022476196
7.25,8.083333333333334,7.666666666666667,stationary,0.33397793769836426,0.009169445373117924,0.026697464287281036
7.5,8.333333333333334,7.916666666666667,clapping,0.9999681711196899,0.022698111832141876,0.012469948269426823
7.75,8.583333333333334,8.166666666666666,stationary,0.001078727305866778,0.06980134546756744,0.2492578625679016
8.0,8.833333333333334,8.416666666666666,clapping,0.9993906617164612,0.005586256738752127,0.03289668262004852
8.25,9.083333333333334,8.666666666666666,clapping,0.9999947547912598,0.004124935250729322,0.007526327855885029
8.5,9.333333333333334,8.916666666666666,stationary,0.4085029661655426,0.013785820454359055,0.6041998267173767
8.75,9.583333333333334,9.166666666666666,clapping,0.999818742275238,0.005221865605562925,0.005238850135356188
9.0,9.833333333333334,9.416666666666666,clapping,0.9999997615814209,0.008076731115579605,0.011046596802771091
9.25,10.083333333333334,9.666666666666666,clapping,0.9967788457870483,0.008368861861526966,0.030970342457294464
9.5,10.333333333333334,9.916666666666666,undefined,0.9999993443489075,0.9357717633247375,0.029039187356829643
9.75,10.583333333333334,10.166666666666666,nodding,1.0,0.9656803011894226,0.016806207597255707
10.0,10.833333333333334,10.416666666666666,nodding,1.0,0.953664243221283,0.02047179453074932
10.25,11.083333333333334,10.666666666666666,nodding,1.0,0.9572634696960449,0.020030539482831955
10.5,11.333333333333334,10.916666666666666,nodding,1.0,0.9658464193344116,0.016923503950238228
10.75,11.583333333333334,11.166666666666666,undefined,1.0,0.9498530030250549,0.023254184052348137
11.0,11.833333333333334,11.416666666666666,undefined,1.0,0.11329548805952072,0.8718182444572449
11.25,12.083333333333334,11.666666666666666,turning,1.0,0.005561874248087406,0.9876496195793152
11.5,12.333333333333334,11.916666666666666,turning,1.0,0.0026456303894519806,0.9935004115104675
11.75,12.583333333333334,12.166666666666666,turning,1.0,0.010224292986094952,0.9776947498321533
12.0,12.833333333333334,12.416666666666666,turning,0.9999901652336121,0.013777149841189384,0.9688200950622559
12.25,13.083333333333334,12.666666666666666,undefined,0.9999861121177673,0.022059541195631027,0.9429271221160889
12.5,13.333333333333334,12.916666666666666,undefined,0.9808710813522339,0.054614972323179245,0.7438453435897827
12.75,13.583333333333334,13.166666666666666,stationary,0.01855883188545704,0.028124717995524406,0.48512765765190125
13.0,13.833333333333334,13.416666666666666,stationary,0.07178308814764023,0.023942643776535988,0.4889817535877228
13.25,14.083333333333334,13.666666666666666,stationary,0.0007841184851713479,0.033491313457489014,0.1760350912809372
13.5,14.333333333333334,13.916666666666666,clapping,0.9816569685935974,0.014102445915341377,0.022712847217917442
13.75,14.583333333333334,14.166666666666666,stationary,0.122706837952137,0.0017234899569302797,0.0012482241727411747
14.0,14.833333333333334,14.416666666666666,clapping,0.9999998211860657,0.004839633125811815,0.005901111289858818
14.25,15.083333333333334,14.666666666666666,clapping,0.9999983310699463,0.010028412565588951,0.009486265480518341
