start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.4854426619132504,0.7427213309566252,nodding,0.9999951124191284,0.9835355281829834,0.01646449975669384
0.25,1.7354426619132504,0.9927213309566252,nodding,1.0,0.9707979559898376,0.02920200489461422
0.5,1.9854426619132504,1.2427213309566252,nodding,1.0,0.9767810106277466,0.023219041526317596
0.75,2.2354426619132504,1.4927213309566252,nodding,1.0,0.9776966571807861,0.02230333536863327
1.0,2.4854426619132504,1.7427213309566252,nodding,1.0,0.9877871870994568,0.012212738394737244
1.25,2.7354426619132504,1.9927213309566252,nodding,1.0,0.9894326329231262,0.010567321442067623
1.5,2.9854426619132504,2.242721330956625,nodding,1.0,0.9888476133346558,0.01115234475582838
1.75,3.2354426619132504,2.492721330956625,nodding,1.0,0.9853991270065308,0.014600892551243305
2.0,3.4854426619132504,2.742721330956625,nodding,1.0,0.9933615922927856,0.006638376507908106
2.25,3.7354426619132504,2.992721330956625,nodding,1.0,0.9956834316253662,0.004316628444939852
2.5,3.9854426619132504,3.242721330956625,nodding,1.0,0.9958744645118713,0.004125508014112711
2.75,4.23544266191325,3.492721330956625,nodding,1.0,0.9903022646903992,0.0096976850181818
3.0,4.48544266191325,3.742721330956625,nodding,1.0,0.9808188080787659,0.019181178882718086
3.25,4.73544266191325,3.992721330956625,nodding,1.0,0.9768301248550415,0.02316984161734581
3.5,4.98544266191325,4.242721330956625,nodding,1.0,0.9758006930351257,0.02419932186603546
3.75,5.23544266191325,4.492721330956625,nodding,1.0,0.9867897629737854,0.013210265897214413
4.0,5.48544266191325,4.742721330956625,nodding,1.0,0.9847533702850342,0.015246586874127388
4.25,5.73544266191325,4.992721330956625,nodding,0.9999997019767761,0.9791377782821655,0.020862240344285965
4.5,5.98544266191325,5.242721330956625,nodding,1.0,0.9974002838134766,0.002599740866571665
4.75,6.23544266191325,5.492721330956625,nodding,1.0,0.9853549003601074,0.014645070768892765
5.0,6.48544266191325,5.742721330956625,nodding,1.0,0.9801760315895081,0.019823972135782242
5.25,6.73544266191325,5.992721330956625,nodding,1.0,0.9816867113113403,0.01831328310072422
5.5,6.98544266191325,6.242721330956625,nodding,1.0,0.9791886210441589,0.02081138826906681
5.75,7.23544266191325,6.492721330956625,nodding,1.0,0.9919716119766235,0.00802843552082777
6.0,7.48544266191325,6.742721330956625,nodding,1.0,0.9979974627494812,0.0020024601835757494
6.25,7.73544266191325,6.992721330956625,nodding,1.0,0.9928907155990601,0.0071092271246016026
6.5,7.98544266191325,7.242721330956625,nodding,1.0,0.9958015084266663,0.004198447801172733
6.75,8.23544266191325,7.492721330956625,nodding,1.0,0.9957746863365173,0.0042253173887729645
7.0,8.48544266191325,7.742721330956625,nodding,1.0,0.992756187915802,0.007243831641972065
7.25,8.73544266191325,7.992721330956625,nodding,1.0,0.9881598949432373,0.011840103194117546
7.5,8.98544266191325,8.242721330956625,nodding,1.0,0.9905053973197937,0.009494619444012642
7.75,9.23544266191325,8.492721330956625,nodding,1.0,0.985425591468811,0.014574441127479076
8.0,9.48544266191325,8.742721330956625,nodding,1.0,0.9904038906097412,0.009596142917871475
8.25,9.73544266191325,8.992721330956625,nodding,1.0,0.9875671863555908,0.012432785704731941
8.5,9.98544266191325,9.242721330956625,nodding,1.0,0.9762451648712158,0.023754814639687538
8.75,10.23544266191325,9.492721330956625,nodding,1.0,0.9881290793418884,0.01187092810869217
9.0,10.48544266191325,9.742721330956625,nodding,1.0,0.9790204167366028,0.020979581400752068
9.25,10.73544266191325,9.992721330956625,nodding,1.0,0.9797869920730591,0.020213060081005096
9.5,10.98544266191325,10.242721330956625,nodding,0.9999998807907104,0.9802242517471313,0.019775807857513428
9.75,11.23544266191325,10.492721330956625,nodding,1.0,0.9835960865020752,0.016403885558247566
10.0,11.48544266191325,10.742721330956625,nodding,1.0,0.9876835942268372,0.01231639739125967
10.25,11.73544266191325,10.992721330956625,nodding,1.0,0.9886966943740845,0.011303303763270378
10.5,11.98544266191325,11.242721330956625,nodding,0.9999995827674866,0.9845298528671265,0.015470145270228386
10.75,12.23544266191325,11.492721330956625,nodding,1.0,0.9658276438713074,0.03417240083217621
11.0,12.48544266191325,11.742721330956625,undefined,1.0,0.9382312893867493,0.06176867336034775
11.25,12.73544266191325,11.992721330956625,nodding,1.0,0.9860425591468811,0.01395745575428009
11.5,12.98544266191325,12.242721330956625,nodding,1.0,0.9749019145965576,0.025098100304603577
11.75,13.23544266191325,12.492721330956625,nodding,1.0,0.97540682554245,0.024593211710453033
12.0,13.48544266191325,12.742721330956625,nodding,1.0,0.9744059443473816,0.02559402398765087
12.25,13.73544266191325,12.992721330956625,nodding,1.0,0.9845433831214905,0.015456576831638813
12.5,13.98544266191325,13.242721330956625,nodding,1.0,0.9771431684494019,0.022856833413243294
12.75,14.23544266191325,13.492721330956625,nodding,1.0,0.9856058955192566,0.014394068159162998
13.0,14.48544266191325,13.742721330956625,nodding,1.0,0.9851728677749634,0.014827113598585129
13.25,14.73544266191325,13.992721330956625,nodding,1.0,0.9845346212387085,0.015465427190065384
13.5,14.98544266191325,14.242721330956625,nodding,1.0,0.9801294207572937,0.019870612770318985
13.75,15.23544266191325,14.492721330956625,nodding,1.0,0.9917938113212585,0.00820621196180582
14.0,15.48544266191325,14.742721330956625,nodding,1.0,0.9878755211830139,0.012124509550631046
14.25,15.73544266191325,14.992721330956625,nodding,1.0,0.9907013177871704,0.009298681281507015
14.5,15.98544266191325,15.242721330956625,nodding,1.0,0.9869070053100586,0.013092984445393085
14.75,16.23544266191325,15.492721330956625,nodding,1.0,0.9875555634498596,0.012444383464753628
15.0,16.48544266191325,15.742721330956625,nodding,1.0,0.9797313809394836,0.02026856690645218
15.25,16.73544266191325,15.992721330956625,nodding,1.0,0.9874754548072815,0.01252455823123455
15.5,16.98544266191325,16.242721330956627,nodding,1.0,0.9759317636489868,0.02406817302107811
15.75,17.23544266191325,16.492721330956627,nodding,1.0,0.9805938601493835,0.019406169652938843
16.0,17.48544266191325,16.742721330956627,nodding,1.0,0.9840449094772339,0.015955064445734024
16.25,17.73544266191325,16.992721330956627,nodding,1.0,0.9852360486984253,0.014763946644961834
16.5,17.98544266191325,17.242721330956627,nodding,1.0,0.9885357022285461,0.011464305222034454
16.75,18.23544266191325,17.492721330956627,nodding,1.0,0.9913589954376221,0.008641080930829048
17.0,18.48544266191325,17.742721330956627,nodding,1.0,0.9859236478805542,0.014076421037316322
17.25,18.73544266191325,17.992721330956627,nodding,1.0,0.9913046360015869,0.008695390075445175
17.5,18.98544266191325,18.242721330956627,nodding,1.0,0.9903391003608704,0.009660854004323483
