start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,nodding,0.9999980926513672,0.9932045936584473,0.0067953686229884624
0.25,1.25,0.75,nodding,1.0,0.9897357225418091,0.01026426162570715
0.5,1.5,1.0,nodding,0.9999997019767761,0.9833788275718689,0.016621150076389313
0.75,1.75,1.25,nodding,1.0,0.9827065467834473,0.01729349046945572
1.0,2.0,1.5,nodding,1.0,0.9788663983345032,0.02113362029194832
1.25,2.25,1.75,nodding,1.0,0.9790159463882446,0.02098402939736843
1.5,2.5,2.0,nodding,1.0,0.986200213432312,0.013799815438687801
1.75,2.75,2.25,nodding,0.9999973773956299,0.975622832775116,0.024377163499593735
2.0,3.0,2.5,nodding,1.0,0.9840466380119324,0.01595330983400345
2.25,3.25,2.75,nodding,1.0,0.9845907688140869,0.015409229323267937
2.5,3.5,3.0,nodding,0.9999170899391174,0.9622719883918762,0.03772797808051109
2.75,3.75,3.25,nodding,0.9999962449073792,0.9763063788414001,0.02369365096092224
3.0,4.0,3.5,nodding,1.0,0.981346845626831,0.01865312084555626
3.25,4.25,3.75,undefined,0.9999760985374451,0.9269485473632812,0.07305141538381577
3.5,4.5,4.0,nodding,0.999998927116394,0.9775089025497437,0.0224910881370306
3.75,4.75,4.25,nodding,1.0,0.9899322986602783,0.010067726485431194
4.0,5.0,4.5,nodding,0.999993085861206,0.9746674299240112,0.02533259615302086
4.25,5.25,4.75,nodding,0.9999964237213135,0.9848132729530334,0.015186673030257225
4.5,5.5,5.0,nodding,0.999996542930603,0.9809932708740234,0.019006669521331787
4.75,5.75,5.25,nodding,0.9999998211860657,0.9856568574905396,0.014343109913170338
5.0,6.0,5.5,nodding,0.9999641180038452,0.9790976643562317,0.020902369171380997
5.25,6.25,5.75,nodding,0.9999073147773743,0.9533652067184448,0.046634841710329056
5.5,6.5,6.0,nodding,0.9984976053237915,0.9737033247947693,0.026296621188521385
5.75,6.75,6.25,nodding,0.9999960660934448,0.9807819128036499,0.01921810582280159
6.0,7.0,6.5,nodding,0.9999176859855652,0.9706578850746155,0.029342107474803925
6.25,7.25,6.75,nodding,0.9996840357780457,0.9794915914535522,0.02050844579935074
6.5,7.5,7.0,undefined,0.9978366494178772,0.9375832676887512,0.06241670623421669
6.75,7.75,7.25,nodding,0.9995036721229553,0.9727474451065063,0.027252543717622757
7.0,8.0,7.5,nodding,0.9996421933174133,0.9761120080947876,0.02388804219663143
7.25,8.25,7.75,nodding,0.9994379281997681,0.9768309593200684,0.02316903881728649
7.5,8.5,8.0,nodding,0.9989862442016602,0.9729904532432556,0.02700960263609886
7.75,8.75,8.25,nodding,0.9981443285942078,0.987639844417572,0.012360135093331337
8.0,9.0,8.5,nodding,0.9965476989746094,0.9845459461212158,0.015454016625881195
8.25,9.25,8.75,nodding,0.9973251223564148,0.9716075658798218,0.02839246205985546
8.5,9.5,9.0,nodding,0.9997417330741882,0.9632447957992554,0.03675517812371254
8.75,9.75,9.25,nodding,0.9998728632926941,0.9718442559242249,0.028155678883194923
9.0,10.0,9.5,nodding,0.9999551177024841,0.9707759618759155,0.0292240921407938
9.25,10.25,9.75,nodding,0.9997336268424988,0.9609878659248352,0.03901218622922897
9.5,10.5,10.0,nodding,0.9999915361404419,0.9893909096717834,0.010609154589474201
9.75,10.75,10.25,nodding,0.9999991059303284,0.9933400750160217,0.0066598933190107346
10.0,11.0,10.5,nodding,1.0,0.9893413186073303,0.010658678598701954
10.25,11.25,10.75,nodding,0.9999920129776001,0.9948947429656982,0.005105228628963232
10.5,11.5,11.0,nodding,0.9992679953575134,0.9828977584838867,0.017102181911468506
10.75,11.75,11.25,nodding,0.9999186992645264,0.9759839177131653,0.02401609905064106
11.0,12.0,11.5,nodding,0.9993821978569031,0.9649152159690857,0.035084761679172516
11.25,12.25,11.75,undefined,0.9856187105178833,0.8952359557151794,0.10476409643888474
