start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,nodding,0.9999955892562866,0.981427788734436,0.018572168424725533
0.25,1.25,0.75,nodding,1.0,0.9882628321647644,0.011737197637557983
0.5,1.5,1.0,nodding,1.0,0.980057954788208,0.019942011684179306
0.75,1.75,1.25,nodding,1.0,0.989418089389801,0.010581905022263527
1.0,2.0,1.5,nodding,0.9999958872795105,0.9760969877243042,0.023902930319309235
1.25,2.25,1.75,nodding,0.9999847412109375,0.9901256561279297,0.00987430103123188
1.5,2.5,2.0,nodding,1.0,0.980873167514801,0.019126838073134422
1.75,2.75,2.25,nodding,0.9999998807907104,0.9876493811607361,0.012350644916296005
2.0,3.0,2.5,nodding,1.0,0.962157666683197,0.03784232214093208
2.25,3.25,2.75,undefined,1.0,0.9192565679550171,0.08074340969324112
2.5,3.5,3.0,undefined,0.9999998211860657,0.49534592032432556,0.504654049873352
2.75,3.75,3.25,undefined,0.9999592900276184,0.8575596213340759,0.14244034886360168
3.0,4.0,3.5,undefined,0.9999993443489075,0.8324723839759827,0.16752755641937256
3.25,4.25,3.75,undefined,0.9999933838844299,0.7516641616821289,0.2483358085155487
3.5,4.5,4.0,nodding,0.9999991655349731,0.9647882580757141,0.03521176800131798
3.75,4.75,4.25,undefined,0.9999865889549255,0.9132453799247742,0.08675458282232285
4.0,5.0,4.5,nodding,0.9999995827674866,0.9844251871109009,0.0155748650431633
4.25,5.25,4.75,undefined,0.9999964237213135,0.89175945520401,0.10824058949947357
4.5,5.5,5.0,undefined,1.0,0.056483007967472076,0.9435170292854309
4.75,5.75,5.25,undefined,0.9999843835830688,0.672676146030426,0.327323853969574
5.0,6.0,5.5,nodding,0.9999892115592957,0.9510017037391663,0.04899835214018822
5.25,6.25,5.75,undefined,0.9999873042106628,0.9259975552558899,0.07400242984294891
5.5,6.5,6.0,undefined,0.9980649948120117,0.6105248332023621,0.3894751965999603
5.75,6.75,6.25,undefined,0.9965568780899048,0.9458585977554321,0.05414140224456787
6.0,7.0,6.5,nodding,0.9999824166297913,0.9640167951583862,0.03598323091864586
6.25,7.25,6.75,nodding,0.9999819397926331,0.9595271944999695,0.04047281667590141
6.5,7.5,7.0,undefined,0.8940902948379517,0.9252662062644958,0.07473372668027878
6.75,7.75,7.25,undefined,0.9981237053871155,0.8425244092941284,0.1574755609035492
