frame,distance,distance_smooth
1.0,555.1135948506552,555.2806818200514
2.0,554.8606387179541,554.0238795344166
3.0,553.4773761423808,552.7847134271625
4.0,550.6618300403946,551.563183498289
5.0,550.9707284522775,550.3592897477963
6.0,548.3245973904002,549.1730321756844
7.0,547.5406594598852,548.0044107819531
8.0,544.8278602432174,546.8534255666052
9.0,543.7640815282462,545.9401659422024
10.0,547.2104897616894,544.9587755791656
11.0,546.9980573545378,543.3121474827205
12.0,540.9605407305057,542.0424736375569
13.0,540.4342196296053,540.9921838531218
14.0,543.7844719709333,540.0833751087134
15.0,536.3413021996511,539.3915064495345
16.0,534.8347654039111,538.4852918545755
17.0,533.973137284984,537.6052002946824
18.0,540.9595545368776,536.9213124072619
19.0,537.3646037651272,536.5752259693927
20.0,537.67144874216,535.5681651041367
21.0,535.5826126891953,534.3112103605006
22.0,533.1582717330032,533.4915020836984
23.0,531.819292792197,531.8421748906283
24.0,528.0801117574704,529.7808711522933
25.0,528.1708950208672,527.5896229262776
26.0,524.9208724892383,525.951834271574
27.0,523.8951728688739,524.0863262044905
28.0,523.2525677186784,522.7393425413894
29.0,521.5583305874136,521.6749281237155
30.0,521.0814680675327,520.7271678648349
31.0,520.6739125320557,520.008722763601
32.0,517.5109365837541,519.4771385667526
33.0,518.3013729241474,519.2568017009496
34.0,519.7853900967309,518.882221260179
35.0,518.5751437979067,518.3393043171445
36.0,517.5879642032121,517.7705316043205
37.0,517.6424414267465,517.042634567072
38.0,517.9403610571316,516.0487826794921
39.0,514.9099588740926,514.7991066110548
40.0,512.8093044302184,513.5156569984006
41.0,510.78685167706635,511.89207705427356
42.0,510.0695098450545,510.2768527883599
43.0,508.18166501127,508.21146730023315
44.0,505.6180168190676,506.25067790256435
45.0,504.9052376665129,504.2841047694018
46.0,505.1148784809119,502.8798579536593
47.0,498.57838416429513,500.80253365512806
48.0,497.23755118631715,498.1386039994034
49.0,494.49158097989414,495.15710843949614
50.0,494.9857451000884,491.94784619491537
51.0,490.39414253837987,488.41778740710504
52.0,487.53167787132975,484.6871788252323
53.0,478.25887547439714,481.707117394488
54.0,476.4166706430161,478.7198120696596
55.0,475.4230178826435,475.92354261902165
56.0,472.58918676664075,474.0586601935914
57.0,471.2708581159507,472.19566532151657
58.0,471.9912764591292,471.45621347725546
59.0,473.1998528415153,470.68973649470894
60.0,467.4183278478697,470.39616403550565
61.0,472.7430290994219,469.71277744097637
62.0,471.4976832967713,469.0984325620849
63.0,465.94486522063255,468.7922911360871
64.0,468.1870977988885,468.16923370883916
65.0,463.7828657924473,467.17461574345145
66.0,465.94311100159774,465.9235857749784
67.0,465.20969384804505,464.26223481274803
68.0,463.5282145001995,460.98387896234385
69.0,461.2772632433525,457.7931687727905
70.0,455.30787755799366,454.0276721887678
71.0,450.46840505512546,449.40898906634743
72.0,444.8336009645084,445.1243035083622
73.0,438.27029398598376,440.4808590859192
74.0,433.54994587632757,437.0828377809417
75.0,433.9195513936473,434.81290093102086
76.0,431.016176945079,433.35414575936727
77.0,432.2876519016769,432.97082634945497
78.0,434.1059076492244,433.66735836973993
79.0,434.8870059296173,435.1219007287449
80.0,439.6211491530792,436.35837416502
81.0,437.92073380770137,437.05412585225963
82.0,436.24134272117254,437.48181618236276
83.0,438.58563042807754,437.49760747304254
84.0,439.9043604854303,436.92984087888436
85.0,435.7104322916411,435.423207463259
86.0,431.0323635174765,433.7037672280438
87.0,431.9623289814615,431.83268902642874
88.0,432.7681951384057,430.3495445965377
89.0,428.4958036126036,429.71345947770425
90.0,428.2463543154211,429.08647276325587
91.0,424.8515303604764,429.15954139085153
92.0,429.41375665615294,429.94062862812643
93.0,430.7404407122985,430.64905463242286
94.0,432.6215924530175,431.3235970967223
95.0,437.46315434773464,432.4680064040974
96.0,432.6628784209266,433.49840752635794
97.0,434.1983745701542,433.9595725307691
98.0,433.9614732898268,434.3204405947696
