frame,distance,distance_smooth,distance_com,distance_shoulder_midpoint,shoulder_midpoint_p1_x,shoulder_midpoint_p2_x,shoulder_midpoint_p1_y,shoulder_midpoint_p2_y,wrist_left_p1_x,wrist_left_p1_y,wrist_right_p1_x,wrist_right_p1_y,wrist_left_p2_x,wrist_left_p2_y,wrist_right_p2_x,wrist_right_p2_y,wrist_left_p1_speed,wrist_right_p1_speed,wrist_left_p2_speed,wrist_right_p2_speed,wrist_left_p1_speed_smooth,wrist_right_p1_speed_smooth,wrist_left_p2_speed_smooth,wrist_right_p2_speed_smooth
0,554.2133277955804,553.6653535093931,701.7095631154702,,1427.7660522460938,247.7631072998047,746.4220886230469,463.1056365966797,1003.2296142578124,898.1968994140625,1123.710693359375,463.3062133789063,321.5170288085937,276.76806640625,335.2081604003906,654.6851806640625,2.4357756267887822,2.871207142880804,0.9434320928256695,4.695037845367412,1.7574665464544506,2.7504810581033015,3.835360449010234,7.119131995679831
1,555.1135948506552,553.6653535093931,699.6985239615987,,1429.8521118164062,252.13529205322266,744.7095336914062,466.49761962890625,1004.9490966796876,896.4716796875,1126.531005859375,463.8444213867188,321.6679992675781,277.6993408203125,339.9031982421875,654.6849975585938,2.4357756267887822,2.871207142880804,0.9434320928256695,4.695037845367412,1.7574665464544506,2.7504810581033015,3.835360449010234,7.119131995679831
2,554.8606387179541,553.6653535093931,699.7520910785724,,1431.4465942382812,252.1172866821289,743.6663818359375,463.4601745605469,1004.9476318359376,897.2916870117188,1125.2646484375,463.6292724609375,323.1024780273437,275.27557373046875,340.300048828125,652.178955078125,0.8200086326006611,1.2845038653903487,2.8164474463458755,2.537270048984322,1.7574665464544506,2.7504810581033015,3.835360449010234,7.119131995679831
3,553.4773761423808,553.6653535093931,698.9726062700961,,1432.48046875,254.69361114501953,743.8793029785156,461.47137451171875,1003.97509765625,895.5716552734375,1129.0230712890625,463.0032348632813,323.3023681640625,272.9969787597656,341.365478515625,654.2568359375,1.9759382357137276,3.810205428166089,2.2873458652488563,2.3351079813925812,1.7574665464544506,2.7504810581033015,3.835360449010234,7.119131995679831
4,550.6618300403946,553.6653535093931,698.3409430236132,,1432.5938110351562,251.3614959716797,739.2416076660156,460.5188751220703,1005.63330078125,895.6946411132812,1129.482421875,460.0368041992188,320.2169494628906,271.6132507324219,343.0256652832031,652.234130859375,1.6627576854616664,3.0017851098123947,3.3814954998044526,2.6167835096381524,1.7574665464544506,2.7504810581033015,3.835360449010234,7.119131995679831
5,550.9707284522775,553.0168336407324,736.9885337789528,,1434.9161987304688,254.0599822998047,740.8012084960938,476.41114807128906,1003.9392700195312,894.8501586914062,1126.7728271484375,459.3944091796875,312.3749694824219,277.40362548828125,329.69989013671875,671.4830322265625,1.8928525517074155,2.784703744266872,9.748081340826316,23.41146059301669,1.7574665464544506,2.7504810581033015,3.835360449010234,7.119131995679831
6,548.3245973904002,551.6590341486815,776.3479174231356,,1434.4435424804688,257.4386444091797,739.7450561523438,476.83258056640625,1004.7522583007812,894.342529296875,1127.696044921875,457.4618225097656,313.63629150390625,275.0100402832031,331.58544921875,674.2403564453125,0.9584558141312476,2.1417801693802794,2.705583740313783,3.340384693285465,1.4620025839229436,2.6045956634031966,4.187790778507856,6.848201365263442
7,547.5406594598852,550.1950382970678,775.6068129523585,,1436.6425170898438,258.9340515136719,737.7779235839844,477.6469421386719,1004.4041748046876,894.7845458984375,1128.28076171875,456.0884399414063,315.5755615234375,273.5064697265625,332.3594970703125,674.7589111328125,0.5626195840082625,1.49267324341967,2.4538729851908254,0.9316914942387017,1.410524774204464,2.646229539009061,4.115275886276846,6.527085654314318
8,544.8278602432174,548.4651351172349,774.7248043394003,,1434.9769897460938,259.6383514404297,735.8391418457031,474.8796691894531,1004.9300537109376,894.9788818359375,1125.2628173828125,453.5186462402344,313.79376220703125,271.6711730957031,333.8526916503906,673.83447265625,0.5606381013119784,3.963814788988024,2.5579528000316096,1.7561937680460786,1.1274647473241142,2.676951411173448,4.169397273233397,6.411302811645018
9,543.7640815282462,547.0855854148052,774.0971855057036,,1434.2910766601562,261.48121643066406,735.2125244140625,473.06787109375,1002.728271484375,894.3297729492188,1124.9658203125,452.67474365234375,313.0082397460937,269.53497314453125,337.3182373046875,673.0126342773438,2.2954710453465266,0.8946389426034964,2.276048278930857,3.5616604278144215,1.2540074193010862,2.255522177731668,3.9483078290586784,6.600278195280272
