frame,person,x_min,x_max,y_min,y_max,centroid_x,centroid_y,com_x,com_y,distance
0,0,0.0,1487.703125,0.0,914.3640747070312,743.8515625,457.1820373535156,956.7674560546875,572.3304748535156,606.2093198686712
0,1,0.0,321.5170288085937,0.0,582.7484130859375,160.75851440429685,291.37420654296875,207.15074157714844,346.4301338195801,
1,0,0.0,1489.8736572265625,0.0,911.77880859375,744.9368286132812,455.889404296875,957.7723236083984,571.7139892578125,606.5599817117338
1,1,0.0,321.6679992675781,0.0,584.7381591796875,160.83399963378906,292.36907958984375,209.89463233947754,346.5788345336914,
2,0,0.0,1490.8037109375,0.0,911.61328125,745.40185546875,455.806640625,958.3454742431641,571.5359725952148,606.7032227336716
2,1,0.0,323.1024780273437,0.0,581.7208251953125,161.55123901367185,290.86041259765625,210.1799087524414,345.9324531555176,
3,0,0.0,1493.220458984375,0.0,911.5277709960938,746.6102294921875,455.7638854980469,958.3463897705078,571.5714492797852,608.230834982911
3,1,0.0,323.3023681640625,0.0,578.255126953125,161.65118408203125,289.1275634765625,212.02206993103027,342.86706161499023,
4,0,0.0,1491.1536865234375,0.0,906.7496337890624,745.5768432617188,453.3748168945312,958.6848449707031,569.9853057861328,608.0369923218798
4,1,0.0,320.2169494628906,0.0,578.5072021484375,160.1084747314453,289.25360107421875,211.62384033203125,345.5431327819824,
5,0,0.0,1494.5662841796875,0.0,907.9872436523438,747.2831420898438,453.9936218261719,959.5785598754883,570.4659194946289,608.8134473431275
5,1,0.0,316.2660522460937,0.0,601.0282592773438,158.13302612304685,300.5141296386719,174.99202346801758,286.4605522155762,
6,0,0.0,1493.48486328125,0.0,906.3429565429688,746.742431640625,453.1714782714844,959.4682388305664,570.0202407836914,609.3640579392087
6,1,0.0,313.63629150390625,0.0,600.9652099609375,156.81814575195312,300.48260498046875,136.6906509399414,224.21757888793945,
7,0,0.0,1494.6761474609375,0.0,905.2600708007812,747.3380737304688,452.6300354003906,960.2641448974609,569.6184158325195,608.8992220883
7,1,0.0,315.5755615234375,0.0,600.7032470703125,157.78778076171875,300.35162353515625,137.8035774230957,224.31336975097656,
8,0,0.0,1491.8006591796875,0.0,903.4828491210938,745.9003295898438,451.7414245605469,959.8599395751953,569.1008911132812,608.4589503533441
8,1,0.0,313.79376220703125,0.0,598.2142333984375,156.89688110351562,299.10711669921875,138.02067947387695,222.7705192565918,
9,0,0.0,1491.9351806640625,0.0,901.47802734375,745.9675903320312,450.739013671875,959.4458160400391,568.5238723754883,608.9483916120705
9,1,0.0,313.0082397460937,0.0,595.8576049804688,156.50411987304685,297.9288024902344,138.20875930786133,221.44044494628906,
10,0,0.0,1494.7547607421875,0.0,901.6982421875,747.3773803710938,450.84912109375,960.2665863037109,567.9072799682617,612.8911463348118
10,1,0.0,309.34521484375,0.0,589.6943359375,154.672607421875,294.84716796875,139.06214141845703,221.1403579711914,
11,0,0.0,1496.484619140625,0.0,902.6640014648438,748.2423095703125,451.3320007324219,960.3617782592773,568.8042526245117,613.1317507663161
11,1,0.0,310.9393615722656,0.0,589.287841796875,155.4696807861328,294.6439208984375,141.40155029296875,221.16884231567383,
12,0,0.0,1492.6136474609375,0.0,904.670654296875,746.3068237304688,452.3353271484375,960.1614074707031,568.4899673461914,611.8878763399969
12,1,0.0,308.46417236328125,0.0,595.7740478515625,154.23208618164062,297.88702392578125,139.7241916656494,220.35143280029297,
13,0,0.0,1493.142822265625,0.0,906.5322875976562,746.5714111328125,453.2661437988281,961.0905609130859,568.5361022949219,611.9696089108272
13,1,0.0,308.4130859375,0.0,599.217041015625,154.20654296875,299.6085205078125,139.73269653320312,220.3218879699707,
14,0,0.0,1495.0445556640625,0.0,909.0617065429688,747.5222778320312,454.5308532714844,960.5856323242188,569.3101806640625,616.047954099082
14,1,0.0,304.59747314453125,0.0,591.4202880859375,152.29873657226562,295.71014404296875,138.7628631591797,219.8037223815918,
15,0,0.0,1496.5408935546875,0.0,911.39306640625,748.2704467773438,455.696533203125,961.0294570922852,570.0328521728516,619.0226464049776
15,1,0.0,297.8345031738281,0.0,601.7817993164062,148.91725158691406,300.8908996582031,136.64654922485352,221.2500991821289,
16,0,0.0,1497.0076904296875,0.0,910.939697265625,748.5038452148438,455.4698486328125,961.4424438476562,569.6195220947266,619.409179033049
16,1,0.0,297.9222106933594,0.0,599.7083740234375,148.9611053466797,299.85418701171875,137.07793045043945,220.73593521118164,
17,0,0.0,1497.1329345703125,0.0,910.1905517578124,748.5664672851562,455.0952758789062,960.8536605834961,569.4008865356445,619.1579751257369
17,1,0.0,299.27313232421875,0.0,596.2506103515625,149.63656616210938,298.12530517578125,137.41290855407715,217.64472198486328,
18,0,0.0,1500.11279296875,0.0,909.132568359375,750.056396484375,454.5662841796875,963.3495559692383,568.8266906738281,620.6574127013763
18,1,0.0,299.8087463378906,0.0,592.695068359375,149.9043731689453,296.3475341796875,137.7207202911377,217.1923599243164,
19,0,0.0,1498.88037109375,0.0,909.2865600585938,749.440185546875,454.6432800292969,962.4684677124023,568.5519104003906,617.9564781156952
19,1,0.0,303.3960266113281,0.0,595.7614135742188,151.69801330566406,297.8807067871094,139.17516899108887,216.38201141357422,
20,0,0.0,1500.71044921875,0.0,909.5099487304688,750.355224609375,454.7549743652344,963.3025207519531,568.1694641113281,619.2611549543087
20,1,0.0,302.2705383300781,0.0,596.9730834960938,151.13526916503906,298.4865417480469,139.80810737609863,216.33870315551758,
21,0,0.0,1500.94921875,0.0,909.5360107421876,750.474609375,454.7680053710938,963.7717895507812,568.1050491333008,619.2279202014902
21,1,0.0,302.46026611328125,0.0,597.450927734375,151.23013305664062,298.7254638671875,138.8793716430664,216.25148010253906,
22,0,0.0,1499.224609375,0.0,909.65673828125,749.6123046875,454.828369140625,963.5486755371094,567.5801391601562,618.9629842436427
22,1,0.0,302.0498046875,0.0,594.6437377929688,151.02490234375,297.3218688964844,139.05248069763184,214.6343002319336,
23,0,0.0,1497.9591064453125,0.0,910.5169677734376,748.9795532226562,455.2584838867188,965.02685546875,566.9000930786133,618.4943338383672
23,1,0.0,300.454345703125,0.0,600.4793701171875,150.2271728515625,300.23968505859375,139.63330459594727,216.80031204223633,
24,0,0.0,1497.7725830078125,0.0,909.6846313476562,748.8862915039062,454.8423156738281,965.0230712890625,566.8689575195312,617.6946547943437
24,1,0.0,301.3009033203125,0.0,602.0447998046875,150.65045166015625,301.02239990234375,139.29017639160156,218.07428359985352,
25,0,0.0,1500.4722900390625,0.0,909.5540771484376,750.2361450195312,454.7770385742188,965.8794097900391,566.3337173461914,618.9425744255284
25,1,0.0,301.20220947265625,0.0,602.779052734375,150.60110473632812,301.3895263671875,138.6711826324463,218.32791137695312,
26,0,0.0,1498.163818359375,0.0,908.7103271484376,749.0819091796875,454.3551635742188,965.3523635864258,566.2646484375,618.0126488670651
26,1,0.0,300.1297302246094,0.0,604.6168212890625,150.0648651123047,302.30841064453125,138.72196006774902,218.45629119873047,
27,0,0.0,1499.884521484375,0.0,908.3333129882812,749.9422607421875,454.1666564941406,966.8656921386719,565.216438293457,620.3650647765206
27,1,0.0,298.02197265625,0.0,600.2137451171875,149.010986328125,300.10687255859375,138.9233913421631,217.1442985534668,
28,0,0.0,1498.671875,0.0,907.7076416015624,749.3359375,453.8538208007812,966.2418518066406,565.0133514404297,618.7454367412056
28,1,0.0,299.10009765625,0.0,603.7155151367188,149.550048828125,301.8577575683594,139.0575714111328,218.94590377807617,
29,0,0.0,1497.6544189453125,0.0,907.7679443359376,748.8272094726562,453.8839721679688,965.4409484863281,565.2629318237305,619.064252669611
29,1,0.0,297.5160522460937,0.0,603.416015625,148.75802612304685,301.7080078125,139.56928634643555,218.96958541870117,
30,0,0.0,1497.398681640625,0.0,909.3145751953124,748.6993408203125,454.6572875976562,965.3241958618164,566.0566482543945,618.0483904371897
30,1,0.0,299.505126953125,0.0,604.3780517578125,149.7525634765625,302.18902587890625,138.60127639770508,219.31976318359375,
31,0,0.0,1496.662841796875,0.0,907.6558837890624,748.3314208984375,453.8279418945312,965.838623046875,565.4601593017578,618.264911046812
31,1,0.0,299.42498779296875,0.0,598.4188842773438,149.71249389648438,299.2094421386719,140.23693466186523,217.09284210205078,
32,0,0.0,1493.5853271484375,0.0,907.869384765625,746.7926635742188,453.9346923828125,965.135612487793,565.4168548583984,615.5402661731813
32,1,0.0,301.04522705078125,0.0,602.2431640625,150.52261352539062,301.12158203125,139.65281677246094,217.48596954345703,
33,0,0.0,1494.5277099609375,0.0,908.8273315429688,747.2638549804688,454.4136657714844,965.2278900146484,565.5996246337891,615.4971729865058
33,1,0.0,302.35552978515625,0.0,602.1148071289062,151.17776489257812,301.0574035644531,141.6175422668457,216.28483963012695,
34,0,0.0,1494.9527587890625,0.0,910.3467407226562,747.4763793945312,455.1733703613281,965.8570251464844,565.6236038208008,615.1709207016382
34,1,0.0,305.0079040527344,0.0,597.6611328125,152.5039520263672,298.83056640625,142.31183624267578,214.5819549560547,
35,0,0.0,1497.3714599609375,0.0,911.6973266601562,748.6857299804688,455.8486633300781,965.8772354125977,566.3680572509766,615.3356830631675
35,1,0.0,306.3476867675781,0.0,601.83544921875,153.17384338378906,300.917724609375,141.69455337524414,216.34228134155273,
36,0,0.0,1496.998779296875,0.0,910.935791015625,748.4993896484375,455.4678955078125,966.0006408691406,566.6093826293945,610.9954833687646
36,1,0.0,313.76300048828125,0.0,605.6244506835938,156.88150024414062,302.8122253417969,106.91883087158203,148.72875595092773,
37,0,0.0,1495.5850830078125,0.0,910.5206298828124,747.7925415039062,455.2603149414062,965.4814224243164,566.223274230957,608.6969609177748
