frame,person,keypoint,x,y
0,0,0,1214.4510498046875,668.8553466796875
0,0,1,1241.696044921875,703.3370971679688
0,0,2,0.0,0.0
0,0,3,1339.2308349609375,815.4102783203125
0,0,4,0.0,0.0
0,0,5,1367.8289794921875,914.3640747070312
0,0,6,1487.703125,578.4801025390625
0,0,7,1003.2296142578125,898.1968994140625
0,0,8,1123.710693359375,463.30621337890625
0,0,9,768.2742919921875,675.5308227539062
0,0,10,760.172607421875,410.91180419921875
0,0,11,1418.19677734375,859.83056640625
0,0,12,1496.201171875,673.8331909179688
0,0,13,0.0,0.0
0,0,14,0.0,0.0
0,0,15,0.0,0.0
0,0,16,0.0,0.0
0,1,0,310.152587890625,488.43218994140625
0,1,1,0.0,0.0
0,1,2,286.0553894042969,518.9957275390625
0,1,3,0.0,0.0
0,1,4,243.9547119140625,561.0338134765625
0,1,5,246.7745361328125,343.4628601074219
0,1,6,248.75167846679688,582.7484130859375
0,1,7,321.51702880859375,276.76806640625
0,1,8,335.2081604003906,654.6851806640625
0,1,9,410.1241149902344,247.45399475097656
0,1,10,405.4749755859375,622.9581909179688
0,1,11,449.743896484375,422.48675537109375
0,1,12,435.0414733886719,548.714599609375
0,1,13,0.0,0.0
0,1,14,0.0,0.0
0,1,15,0.0,0.0
0,1,16,0.0,0.0
1,0,0,1213.228515625,671.017333984375
1,0,1,1241.48681640625,704.2447509765625
1,0,2,0.0,0.0
1,0,3,1342.8099365234375,812.55908203125
1,0,4,0.0,0.0
1,0,5,1369.83056640625,911.77880859375
1,0,6,1489.8736572265625,577.6402587890625
1,0,7,1004.9490966796875,896.4716796875
1,0,8,1126.531005859375,463.84442138671875
1,0,9,767.6334228515625,674.4490966796875
1,0,10,757.8184814453125,408.1943359375
1,0,11,1420.0477294921875,857.3160400390625
1,0,12,1499.4832763671875,671.7138671875
1,0,13,0.0,0.0
1,0,14,0.0,0.0
1,0,15,0.0,0.0
1,0,16,0.0,0.0
1,1,0,312.455322265625,482.82733154296875
1,1,1,0.0,0.0
1,1,2,289.3936462402344,515.509521484375
1,1,3,0.0,0.0
1,1,4,251.3695068359375,563.5992431640625
1,1,5,246.6302947998047,348.257080078125
1,1,6,257.6402893066406,584.7381591796875
1,1,7,321.6679992675781,277.6993408203125
1,1,8,339.9031982421875,654.6849975585938
1,1,9,409.82403564453125,243.72779846191406
1,1,10,408.75482177734375,621.4380493164062
1,1,11,451.66522216796875,420.580810546875
1,1,12,442.8357238769531,544.8299560546875
1,1,13,0.0,0.0
1,1,14,0.0,0.0
1,1,15,0.0,0.0
1,1,16,0.0,0.0
2,0,0,1213.4613037109375,671.1690063476562
2,0,1,1241.779296875,704.350341796875
2,0,2,0.0,0.0
2,0,3,1343.682373046875,812.1439819335938
2,0,4,0.0,0.0
2,0,5,1372.0894775390625,911.61328125
2,0,6,1490.8037109375,575.719482421875
2,0,7,1004.9476318359375,897.2916870117188
2,0,8,1125.2646484375,463.6292724609375
2,0,9,766.7990112304688,674.4903564453125
2,0,10,759.1669921875,406.9814758300781
2,0,11,1426.152587890625,856.7276611328125
2,0,12,1504.723876953125,669.9340209960938
2,0,13,0.0,0.0
2,0,14,0.0,0.0
2,0,15,0.0,0.0
2,0,16,0.0,0.0
2,1,0,313.005615234375,484.2898864746094
2,1,1,0.0,0.0
2,1,2,289.5467224121094,517.2802124023438
2,1,3,0.0,0.0
2,1,4,251.5498809814453,563.693603515625
2,1,5,248.41073608398438,345.19952392578125
2,1,6,255.82383728027344,581.7208251953125
2,1,7,323.10247802734375,275.27557373046875
2,1,8,340.300048828125,652.178955078125
2,1,9,409.0068054199219,241.9210205078125
2,1,10,411.834228515625,621.1097412109375
2,1,11,450.09344482421875,420.7462158203125
2,1,12,438.9669189453125,544.3065795898438
2,1,13,0.0,0.0
2,1,14,0.0,0.0
2,1,15,0.0,0.0
2,1,16,0.0,0.0
3,0,0,1212.890869140625,671.8939208984375
3,0,1,1241.181884765625,704.966064453125
3,0,2,0.0,0.0
3,0,3,1343.7623291015625,812.38134765625
3,0,4,0.0,0.0
3,0,5,1371.740478515625,911.5277709960938
3,0,6,1493.220458984375,576.2308349609375
3,0,7,1003.97509765625,895.5716552734375
3,0,8,1129.0230712890625,463.00323486328125
3,0,9,766.4171752929688,674.2446899414062
3,0,10,760.9737548828125,405.3360900878906
3,0,11,1424.9493408203125,854.8482055664062
3,0,12,1505.3470458984375,668.0362548828125
3,0,13,0.0,0.0
3,0,14,0.0,0.0
3,0,15,0.0,0.0
3,0,16,0.0,0.0
3,1,0,313.6086120605469,479.4442138671875
3,1,1,0.0,0.0
3,1,2,292.49896240234375,510.86431884765625
3,1,3,0.0,0.0
3,1,4,257.37939453125,556.688232421875
3,1,5,249.9696807861328,344.6876220703125
3,1,6,259.41754150390625,578.255126953125
3,1,7,323.3023681640625,272.9969787597656
3,1,8,341.365478515625,654.2568359375
3,1,9,408.0599670410156,239.08938598632812
3,1,10,416.5773010253906,621.595458984375
3,1,11,444.6405029296875,421.55169677734375
3,1,12,433.72357177734375,543.4896850585938
3,1,13,0.0,0.0
3,1,14,0.0,0.0
3,1,15,0.0,0.0
3,1,16,0.0,0.0
4,0,0,1212.2357177734375,673.0833740234375
4,0,1,1240.886962890625,704.888671875
4,0,2,0.0,0.0
4,0,3,1345.53515625,807.7325439453125
4,0,4,0.0,0.0
4,0,5,1374.033935546875,906.7496337890625
4,0,6,1491.1536865234375,571.7335815429688
4,0,7,1005.63330078125,895.6946411132812
4,0,8,1129.482421875,460.03680419921875
4,0,9,766.109619140625,674.0421142578125
4,0,10,760.2544555664062,402.45465087890625
4,0,11,1426.759033203125,848.26708984375
4,0,12,1504.794189453125,661.33984375
4,0,13,0.0,0.0
4,0,14,0.0,0.0
4,0,15,0.0,0.0
4,0,16,0.0,0.0
4,1,0,315.87579345703125,488.3762512207031
4,1,1,0.0,0.0
4,1,2,295.3105163574219,520.3743896484375
4,1,3,0.0,0.0
4,1,4,258.8644714355469,562.9434204101562
