index,confidence,hand,time,person,X_WRIST,Y_WRIST,Z_WRIST,X_THUMB_CMC,Y_THUMB_CMC,Z_THUMB_CMC,X_THUMB_MCP,Y_THUMB_MCP,Z_THUMB_MCP,X_THUMB_IP,Y_THUMB_IP,Z_THUMB_IP,X_THUMB_TIP,Y_THUMB_TIP,Z_THUMB_TIP,X_INDEX_MCP,Y_INDEX_MCP,Z_INDEX_MCP,X_INDEX_PIP,Y_INDEX_PIP,Z_INDEX_PIP,X_INDEX_DIP,Y_INDEX_DIP,Z_INDEX_DIP,X_INDEX_TIP,Y_INDEX_TIP,Z_INDEX_TIP,X_MIDDLE_MCP,Y_MIDDLE_MCP,Z_MIDDLE_MCP,X_MIDDLE_PIP,Y_MIDDLE_PIP,Z_MIDDLE_PIP,X_MIDDLE_DIP,Y_MIDDLE_DIP,Z_MIDDLE_DIP,X_MIDDLE_TIP,Y_MIDDLE_TIP,Z_MIDDLE_TIP,X_RING_MCP,Y_RING_MCP,Z_RING_MCP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_RING_DIP,Y_RING_DIP,Z_RING_DIP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_PINKY_MCP,Y_PINKY_MCP,Z_PINKY_MCP,X_PINKY_PIP,Y_PINKY_PIP,Z_PINKY_PIP,X_PINKY_DIP,Y_PINKY_DIP,Z_PINKY_DIP,X_PINKY_TIP,Y_PINKY_TIP,Z_PINKY_TIP
6,  score: 0.5306648,"  label: ""Right""",100,0.30138525,0.6413395,-3.3774604e-08,0.32017684,0.65318507,0.0022056417,0.33675763,0.6568049,0.003583619,0.35066304,0.66385996,0.0037728818,0.36036935,0.67109674,0.004026903,0.3357174,0.63314027,0.0083332695,0.34463537,0.63356155,0.009252158,0.34719697,0.6345585,0.008156223,0.35181126,0.6352699,0.0066045015,0.33258978,0.62325984,0.0061762673,0.342795,0.6205183,0.0061624385,0.34849003,0.6214094,0.003448419,0.35490182,0.62345445,0.00064831524,0.32996652,0.617515,0.003751649,0.34188858,0.61376554,0.0025862623,0.3490558,0.61356753,0.00070232525,0.3561071,0.61464006,-0.0011462094,0.32777983,0.614766,0.0015000348,0.33839908,0.6123411,0.0010798766,0.3443978,0.6121718,0.0013562923,0.35033524,0.6139192,0.0010901892,right
6,  score: 0.9868048,"  label: ""Right""",100,0.32333982,0.39077443,6.405339e-08,0.32810664,0.40972033,-0.0021608796,0.336196,0.42189062,-0.004582526,0.34446678,0.4286759,-0.0065853843,0.35077238,0.43376383,-0.008979012,0.34160048,0.41448516,-0.009861637,0.35398713,0.41956338,-0.014052353,0.36169946,0.42216408,-0.016018307,0.36792293,0.42367312,-0.017268682,0.34328443,0.39924482,-0.010638908,0.35598987,0.40041545,-0.014582395,0.36458826,0.40170756,-0.016367802,0.37148133,0.40251243,-0.017758846,0.34326637,0.3847647,-0.011166372,0.35613286,0.3822908,-0.014787694,0.36537018,0.38109308,-0.016974369,0.37267572,0.38052037,-0.018605877,0.34188303,0.37332484,-0.011560458,0.35140455,0.3649797,-0.015502395,0.35812742,0.35958856,-0.017711716,0.36385524,0.3557677,-0.019031877,right
6,  score: 0.9477063,"  label: ""Right""",100,0.4402683,0.7202341,1.0559309e-07,0.42779225,0.6865591,-0.01641723,0.40524334,0.67445654,-0.019450562,0.38870054,0.65931046,-0.018093461,0.3790795,0.6394187,-0.014859904,0.3879224,0.72504836,-0.015311659,0.36042273,0.7089895,-0.0153046595,0.35924792,0.68348306,-0.013319756,0.36376444,0.66824955,-0.011104015,0.38876605,0.73611104,-0.0045324373,0.36799657,0.7060549,-0.0037545215,0.3705056,0.678807,-0.003453365,0.3763993,0.66535664,-0.0032898437,0.3920969,0.73828745,0.005690087,0.37608933,0.71020794,0.0062019075,0.37722644,0.6865383,0.004062061,0.3824216,0.67299575,0.0024449702,0.3957361,0.73639196,0.014820521,0.38418597,0.71513295,0.013579436,0.3838478,0.6963037,0.011209235,0.38773125,0.6845638,0.010079144,left
7,  score: 0.9430417,"  label: ""Left""",120,0.48891544,0.53201294,-8.220295e-08,0.47255495,0.54360175,-0.017105505,0.45265266,0.53274935,-0.021465246,0.43427017,0.52151024,-0.022553982,0.41906294,0.52160805,-0.022479083,0.44602075,0.49374345,-0.0053488747,0.42444488,0.4876049,-0.008719319,0.4138871,0.49963707,-0.013114527,0.4099712,0.5112096,-0.015484668,0.44840854,0.48506665,0.0031344546,0.42783615,0.48166683,0.0028389976,0.41544,0.49089023,-0.00056714995,0.4081092,0.5040412,-0.0032503763,0.45093715,0.48318896,0.009446969,0.43135226,0.47940603,0.007428966,0.41897592,0.48872137,0.0034800016,0.4100377,0.49844512,0.00093457836,0.45266476,0.48411012,0.014473218,0.4357283,0.4796922,0.012469072,0.426185,0.48425728,0.010356899,0.4188656,0.48909092,0.009076847,left
7,  score: 0.92259043,"  label: ""Left""",120,0.30243373,0.64291275,5.9217196e-08,0.3120429,0.62441,0.0009191442,0.32325238,0.61583257,0.0008442617,0.33237034,0.6143185,0.00032366396,0.3389536,0.6152287,-0.00020539966,0.32455504,0.61633277,-0.003053785,0.33736983,0.6090839,-0.0060825716,0.34550458,0.6059121,-0.007224691,0.3522709,0.6045245,-0.0077798306,0.32542568,0.62757903,-0.0052564335,0.33865348,0.6204954,-0.008998646,0.34813404,0.61729556,-0.011114423,0.35579845,0.61593896,-0.012230693,0.3256682,0.6417271,-0.007259483,0.33787662,0.63650745,-0.011605858,0.34677482,0.63311505,-0.014507465,0.35390782,0.6305571,-0.015979469,0.3251382,0.6571257,-0.008934059,0.33495858,0.66201514,-0.012893985,0.34178016,0.6655614,-0.015103351,0.34800345,0.66858196,-0.016239233,right
7,  score: 0.96646595,"  label: ""Right""",120,0.32361358,0.39049727,6.481105e-08,0.32719588,0.4105872,-0.0026657826,0.3349672,0.42397973,-0.0048451545,0.3433913,0.4318273,-0.0065943017,0.35008082,0.4374076,-0.00867087,0.34154773,0.41729754,-0.008771895,0.35203683,0.42639613,-0.012428942,0.35900086,0.43049368,-0.014228475,0.3648905,0.43316266,-0.015482004,0.34421068,0.40274453,-0.009277215,0.35567462,0.40631995,-0.012780308,0.36382973,0.40895426,-0.0144184055,0.37074837,0.41070578,-0.015767653,0.34476215,0.38819748,-0.009699691,0.35678375,0.3877885,-0.01319662,0.36557704,0.3882469,-0.015311461,0.3727469,0.38883117,-0.01687263,0.34369153,0.3761292,-0.010074785,0.35347703,0.3686483,-0.014023049,0.36018097,0.36399955,-0.016232919,0.3659776,0.36063462,-0.017560462,right
7,  score: 0.9353404,"  label: ""Right""",120,0.43908477,0.71897215,1.08372646e-07,0.4256425,0.68585503,-0.016127946,0.40279457,0.6740934,-0.018925413,0.38666156,0.65903103,-0.017375145,0.3778546,0.6394204,-0.013855276,0.3868903,0.7276378,-0.014356474,0.35904762,0.7118721,-0.013699853,0.35876733,0.68578744,-0.011338207,0.36427066,0.67133623,-0.008810795,0.3880516,0.73832965,-0.0034370562,0.3661723,0.70961106,-0.0017646265,0.36845887,0.6816672,-0.001266188,0.37440753,0.6684926,-0.0010590268,0.39140266,0.7399982,0.0069628456,0.37414035,0.71378803,0.0085811205,0.37470114,0.6895043,0.006523303,0.37988755,0.6758776,0.0047252015,0.39481136,0.737878,0.016268134,0.38231596,0.718256,0.0159188,0.3814999,0.69918585,0.0137183815,0.38546345,0.6871409,0.012527726,left
8,  score: 0.9441578,"  label: ""Left""",140,0.3024099,0.6444683,6.712027e-08,0.3117503,0.6259646,0.000236358,0.32300016,0.61821866,1.7145376e-05,0.33261257,0.6174318,-0.00045661416,0.3393261,0.618068,-0.0010072474,0.3232014,0.618977,-0.003866819,0.3352719,0.609832,-0.0069770543,0.34358072,0.6072494,-0.0083595775,0.3506732,0.6062954,-0.009146739,0.3243575,0.6313244,-0.005849091,0.33645925,0.6222474,-0.009245631,0.3456603,0.61841714,-0.0115156025,0.35340583,0.61657053,-0.012883741,0.3245353,0.6457285,-0.007690937,0.3358347,0.64008605,-0.012217173,0.34421033,0.63643706,-0.015654404,0.35104394,0.63360655,-0.017538643,0.32386437,0.6605493,-0.00921884,0.3325403,0.66630805,-0.013570257,0.33890653,0.6705678,-0.01624501,0.344733,0.6742617,-0.017735472,right
8,  score: 0.9680308,"  label: ""Right""",140,0.324235,0.39123937,6.082096e-08,0.3274387,0.41097403,-0.001108788,0.33457264,0.42445096,-0.002296932,0.34208435,0.43250388,-0.0033912638,0.34751967,0.43918228,-0.004767805,0.34215397,0.4172727,-0.0051915953,0.35005635,0.426436,-0.007702595,0.35534367,0.43181175,-0.009010581,0.3595244,0.43516356,-0.00987973,0.34550422,0.40463516,-0.0063352995,0.35721162,0.410153,-0.00851891,0.3648092,0.41459128,-0.009505156,0.37084112,0.41731876,-0.010326977,0.3464794,0.39122403,-0.007447214,0.35872734,0.39251158,-0.010224051,0.36711538,0.39418423,-0.012344884,0.3736284,0.39556932,-0.013871185,0.34550864,0.37926108,-0.008384784,0.35486203,0.37104148,-0.011898775,0.36109293,0.36534932,-0.013922798,0.3663973,0.36103952,-0.015113265,right
8,  score: 0.9409556,"  label: ""Right""",140,0.43684995,0.7200655,8.646883e-08,0.42386022,0.68757063,-0.016928254,0.401359,0.6750493,-0.020299729,0.38537773,0.6588194,-0.019073777,0.37567502,0.6400536,-0.015755003,0.38427606,0.7294245,-0.016715307,0.35652235,0.7126865,-0.016632633,0.35752892,0.68630177,-0.0142240925,0.36359707,0.67278725,-0.011619421,0.3852075,0.74007577,-0.0057595293,0.36404732,0.70921254,-0.004985253,0.3679139,0.68147117,-0.004682148,0.37466702,0.6699133,-0.004554806,0.38837966,0.74176705,0.004746369,0.37157646,0.7134744,0.005249965,0.37356684,0.68951863,0.0032258714,0.37950522,0.6773046,0.0016592329,0.3918855,0.73988473,0.014168109,0.3792807,0.7188069,0.013039149,0.37911204,0.69952285,0.010988803,0.38356134,0.6884876,0.010047121,left
