time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.50509655,0.91187274,8.67358e-08,0.4742501,0.9168672,-0.0039269463,0.44775888,0.9362696,-0.009738862,0.42938775,0.95491046,-0.014146999,0.41938427,0.9650185,-0.018576521,0.45561358,0.94878167,-0.02160225,0.43404335,0.98172194,-0.029503103,0.42353857,0.987763,-0.03281384,0.41787603,0.988682,-0.034074713,0.47333807,0.9597419,-0.022069478,0.44827563,0.99077475,-0.027886828,0.43585092,0.994231,-0.027887989,0.42878014,0.99108225,-0.028259268,0.4879286,0.96662104,-0.021663299,0.4624603,0.99183464,-0.024755577,0.44998452,0.9954012,-0.021905499,0.44313416,0.9927771,-0.020569174,0.49926847,0.970293,-0.021318046,0.477451,0.9883845,-0.02231563,0.46479437,0.9907397,-0.018923167,0.45806074,0.99017835,-0.016662916,0.3763248,0.9208656,-1.8209595e-07,0.41117087,0.9201136,0.0014327763,0.43754026,0.93417776,4.3140368e-05,0.45110804,0.9518406,-0.0022995267,0.45533118,0.96486974,-0.0038489925,0.43648976,0.9568711,-0.0070500984,0.46436524,0.9898689,-0.01258539,0.46021852,0.9816156,-0.013987324,0.45014855,0.97210956,-0.01339751,0.42153853,0.9750936,-0.009818739,0.44790444,1.0004835,-0.013062462,0.4445476,0.9907008,-0.012172321,0.43561292,0.98048943,-0.010879074,0.40706906,0.98818105,-0.012119973,0.4311351,1.0065509,-0.013401265,0.4285836,0.99716276,-0.009611294,0.4207203,0.98723525,-0.006846813,0.39483577,0.996953,-0.014223597,0.41552606,1.0112162,-0.013756535,0.41491005,1.0038681,-0.008890426,0.40851545,0.99586487,-0.0048682233
40.0,0.5106031,0.9025437,1.018496e-07,0.48041102,0.9067396,-0.0014636829,0.45670855,0.92627794,-0.0037197364,0.4421399,0.94810873,-0.005404509,0.43382567,0.9628514,-0.007042843,0.46197307,0.93863535,-0.012118294,0.44188792,0.96779627,-0.017978687,0.43239248,0.975449,-0.020476857,0.42728788,0.9781108,-0.021161042,0.47658518,0.9518137,-0.013095795,0.45421454,0.9764568,-0.016250977,0.4452033,0.9797377,-0.015952434,0.44018352,0.9794299,-0.016100861,0.48989305,0.96182585,-0.0135081215,0.46702218,0.9819452,-0.014929151,0.46068504,0.98082805,-0.011710687,0.45899904,0.9773118,-0.0101214945,0.5003152,0.96891856,-0.01400169,0.4788743,0.9829291,-0.0136778625,0.47437117,0.9794579,-0.009516891,0.4750347,0.9755465,-0.0066059185,0.37816453,0.92196006,-1.8763309e-07,0.4118761,0.9204203,0.0005513234,0.43904138,0.93472433,-0.0008180888,0.45515853,0.95130086,-0.002518819,0.4616772,0.9625289,-0.0032238143,0.43477675,0.95588696,-0.010498646,0.46545053,0.9892665,-0.015983555,0.4607584,0.9800433,-0.016637336,0.45029768,0.969186,-0.015409908,0.41980994,0.9745629,-0.012369296,0.44803014,0.9992038,-0.015289704,0.44394925,0.988587,-0.013441828,0.43431443,0.97823393,-0.011714198,0.4059218,0.9881634,-0.013631414,0.43239143,1.0065256,-0.014776097,0.42912003,0.99694836,-0.0106229065,0.42022794,0.9872275,-0.0077895764,0.39464274,0.9973381,-0.014653506,0.41702577,1.0117916,-0.014723549,0.4158908,1.0043943,-0.010241086,0.40847695,0.9965597,-0.0065338938
80.0,0.50998765,0.90205085,9.784137e-08,0.47919846,0.9060952,-0.0012062822,0.45559508,0.926269,-0.0028777039,0.44320792,0.94878525,-0.0039121457,0.43845782,0.96499854,-0.00487221,0.46211338,0.93763834,-0.011475252,0.44368201,0.9634499,-0.016276063,0.43528613,0.97215515,-0.017927459,0.4312917,0.9760609,-0.01820515,0.47754553,0.9511085,-0.012065784,0.45724747,0.9733775,-0.014896146,0.45132303,0.9748403,-0.014024094,0.44940513,0.97302866,-0.013643403,0.49100795,0.9612749,-0.012015363,0.46984473,0.97913355,-0.01311674,0.46653283,0.9767118,-0.009675324,0.4679245,0.9718515,-0.00783622,0.50113434,0.9685196,-0.012002745,0.48102853,0.9810759,-0.011573037,0.47806948,0.9772477,-0.007796153,0.48024774,0.9726763,-0.005128829,0.37805912,0.9221096,-1.8905556e-07,0.4123379,0.92046463,0.0012884394,0.43995678,0.93495387,0.0005289619,0.4552039,0.95214516,-0.00074309524,0.46086743,0.9640878,-0.0011005041,0.4355578,0.9555676,-0.00880662,0.46514332,0.9890696,-0.0136725195,0.46077704,0.9802136,-0.0140599925,0.4507942,0.9692595,-0.012754593,0.42039672,0.9745724,-0.010921053,0.44775045,0.9989625,-0.013255343,0.44382337,0.98827094,-0.01138439,0.4344491,0.9776158,-0.009669774,0.40632567,0.98829466,-0.012421621,0.43205467,1.0058616,-0.013103582,0.4289029,0.9960165,-0.009096366,0.42032608,0.9860864,-0.006435637,0.3948082,0.9973447,-0.013636783,0.41684735,1.0109019,-0.013352745,0.41568455,1.0031964,-0.008832156,0.40844765,0.9952214,-0.0051361653
120.0,0.50977296,0.9039433,1.3507794e-07,0.4795237,0.90576285,-0.0029567224,0.45540962,0.92599803,-0.0046918457,0.44328696,0.94906884,-0.005399193,0.43849862,0.9658705,-0.0059834407,0.46372786,0.93721515,-0.010852902,0.44518057,0.9614445,-0.01578985,0.43572846,0.97068614,-0.017870143,0.4302869,0.97546756,-0.018501364,0.47872993,0.9509482,-0.010718131,0.45793635,0.9730759,-0.014021251,0.44937074,0.97821647,-0.014051031,0.44447955,0.9799575,-0.014091443,0.49181443,0.96157455,-0.01025117,0.47055113,0.9798864,-0.012299749,0.46382356,0.98145145,-0.010030756,0.4612024,0.9807458,-0.008705328,0.5012668,0.96917915,-0.009941407,0.48091558,0.98189765,-0.010606725,0.47540754,0.9803314,-0.007686864,0.47466582,0.97819334,-0.0054148356,0.37805256,0.92254776,-1.878312e-07,0.41172847,0.92015594,0.000807397,0.43980262,0.93394285,-0.00020499298,0.45602733,0.94988096,-0.0016010887,0.46283653,0.960543,-0.0020088316,0.43535638,0.95565265,-0.009685545,0.46513817,0.9891547,-0.014703768,0.45995343,0.9800016,-0.015133686,0.4496009,0.96889687,-0.013858197,0.42041185,0.9744817,-0.011642791,0.4475339,0.999205,-0.013968866,0.44322845,0.98865885,-0.012025452,0.4339618,0.9780148,-0.010353418,0.40635964,0.9880939,-0.012997269,0.43179232,1.0062096,-0.013717642,0.4283714,0.9965111,-0.009629204,0.41988757,0.98651606,-0.0069774524,0.3947823,0.9971704,-0.014090822,0.41658524,1.0112358,-0.013886238,0.41525888,1.0037335,-0.009335221,0.40808928,0.99574554,-0.0056511797
160.0,0.5089226,0.9048945,1.5591172e-07,0.4799068,0.9056803,-0.0041950955,0.45552933,0.92641026,-0.006331821,0.44369623,0.94963294,-0.00714642,0.4403911,0.9674144,-0.007871822,0.4635646,0.9376083,-0.012125926,0.44523382,0.96166927,-0.017415678,0.43479118,0.97132516,-0.019786282,0.42825475,0.9763739,-0.020615775,0.478722,0.9511715,-0.011595483,0.45816523,0.9730093,-0.015254129,0.44849172,0.9783945,-0.015414184,0.44227242,0.9806988,-0.015453704,0.4919339,0.96186346,-0.0108425915,0.47084945,0.97971505,-0.013344521,0.46276304,0.98152536,-0.011118329,0.45841163,0.9818271,-0.009733102,0.50139797,0.9695459,-0.010363756,0.48087728,0.9823677,-0.011533967,0.47509977,0.98033684,-0.008614338,0.47387064,0.9781525,-0.0062623937,0.37801763,0.9227388,-1.8685006e-07,0.4124905,0.9205683,0.00041566815,0.440363,0.9342967,-0.0011250775,0.45626312,0.95169264,-0.0030000585,0.46170005,0.9652944,-0.0038296673,0.43556887,0.9558125,-0.009814478,0.46475872,0.9886744,-0.015048316,0.4603143,0.9793516,-0.01563424,0.44996718,0.9685612,-0.014497204,0.42024937,0.9746104,-0.011674371,0.44763464,0.9981917,-0.014451945,0.44402635,0.9873277,-0.012652199,0.43455172,0.9769067,-0.011016246,0.40626803,0.9883263,-0.012994157,0.43242186,1.0050875,-0.014244984,0.42943624,0.99514484,-0.010118563,0.4206333,0.9852676,-0.0072919144,0.39499697,0.9974846,-0.014064864,0.41761607,1.0099142,-0.0142541975,0.41652456,1.0019454,-0.009753595,0.40913773,0.9940442,-0.006003025
200.0,0.50823456,0.9062486,1.3970232e-07,0.47922537,0.9071691,-0.0032833721,0.45422122,0.92734176,-0.0049944636,0.4405627,0.9493445,-0.0056257905,0.43364954,0.9646818,-0.006230242,0.46264842,0.9373184,-0.011348499,0.44468975,0.96111035,-0.016045326,0.43489903,0.97033024,-0.017943682,0.42893285,0.9753218,-0.018555498,0.4778354,0.9508399,-0.011152111,0.45789412,0.9720161,-0.01430197,0.44937688,0.97623974,-0.0140539715,0.44431376,0.9778663,-0.013902165,0.49128878,0.96145755,-0.010656112,0.47076875,0.97871214,-0.012731124,0.46413508,0.9792884,-0.010025104,0.46129876,0.9788697,-0.008425703,0.5012492,0.9692993,-0.010353097,0.48113343,0.9816842,-0.011203828,0.47624978,0.979251,-0.007965718,0.47583294,0.97704715,-0.0054412736,0.37796143,0.92341393,-1.9010838e-07,0.4115877,0.92066723,0.0001345921,0.43951327,0.93520355,-0.0013386013,0.45526746,0.95340145,-0.0030253315,0.46094418,0.9664645,-0.003586597,0.43496326,0.9561921,-0.010702832,0.465061,0.989306,-0.015947517,0.45960477,0.9794958,-0.01633454,0.44890952,0.96850866,-0.015075971,0.41994593,0.97525936,-0.012402913,0.44758222,0.9987902,-0.014993943,0.44330367,0.9878892,-0.012889791,0.43379518,0.9778097,-0.01113422,0.4060233,0.9890207,-0.013552318,0.43197426,1.0055581,-0.014689136,0.42861432,0.9955611,-0.010495637,0.4198598,0.986005,-0.0077268034,0.39478058,0.99832857,-0.014474908,0.41725343,1.0108691,-0.014719349,0.41583398,1.0030891,-0.010293173,0.40835184,0.99551916,-0.006640351
240.0,0.50821936,0.9075242,1.4694396e-07,0.47879007,0.9074524,-0.0036988975,0.4538696,0.9275193,-0.005524043,0.4417219,0.9500318,-0.006108207,0.43664128,0.96649474,-0.006708242,0.46304825,0.93599665,-0.012578018,0.44417822,0.9595888,-0.017558599,0.4339561,0.9697092,-0.019389391,0.42776233,0.9755083,-0.019860737,0.4779149,0.9502992,-0.012184815,0.4571837,0.9716857,-0.015471276,0.448129,0.97672045,-0.014955881,0.4425012,0.9788348,-0.01455668,0.4911512,0.9615643,-0.011463548,0.47002837,0.9795292,-0.013511896,0.46323234,0.97992146,-0.010411668,0.46027777,0.9790017,-0.008472507,0.5010213,0.96985984,-0.0109813195,0.48076797,0.98271406,-0.011717243,0.47552568,0.98021495,-0.008230791,0.47502792,0.97761977,-0.0055080187,0.37711644,0.9221028,-1.8217058e-07,0.4110999,0.92016184,0.0007962157,0.440136,0.9333372,-0.0004219026,0.4572602,0.94675905,-0.0020576555,0.46514997,0.9534285,-0.0027892874,0.43530765,0.9566304,-0.009227728,0.46485138,0.9881211,-0.01378523,0.4591131,0.97891766,-0.014219154,0.4485439,0.96829396,-0.013164773,0.42018753,0.97516924,-0.011372092,0.44679725,0.9982468,-0.013253171,0.44233415,0.98747075,-0.011369799,0.43304163,0.9770732,-0.009906279,0.4059328,0.9882205,-0.01290619,0.43071854,1.004699,-0.013158062,0.4273088,0.9947429,-0.009206529,0.4187935,0.9849389,-0.0068441126,0.39419487,0.99683124,-0.014197118,0.41546384,1.0091896,-0.013391165,0.413984,1.001306,-0.00858949,0.40666598,0.99349505,-0.004886487
280.0,0.50884485,0.9069643,1.2192753e-07,0.4795303,0.9068857,-0.0032200261,0.45466927,0.92666125,-0.00484898,0.44248268,0.9487326,-0.005403416,0.4375842,0.964774,-0.0059957025,0.46394095,0.936146,-0.011807536,0.44560635,0.9583805,-0.016590875,0.43636513,0.9661712,-0.018453058,0.43123966,0.96993834,-0.018959727,0.47847077,0.9504064,-0.01155755,0.45810214,0.9706907,-0.014523475,0.4510424,0.9724003,-0.014005283,0.44799435,0.97177815,-0.013689258,0.49154902,0.9614754,-0.010942409,0.4706938,0.9786277,-0.012548246,0.46622014,0.97594726,-0.009312444,0.46611172,0.9722651,-0.0073667625,0.50136775,0.96964055,-0.010530714,0.48129383,0.98224884,-0.010781123,0.47758445,0.97788304,-0.007124481,0.47905838,0.9735141,-0.0043830033,0.37741393,0.9224155,-1.6978159e-07,0.41173357,0.9202234,0.00016667267,0.43901864,0.93479824,-0.0015283584,0.45452353,0.95330226,-0.0034710176,0.46139088,0.9674165,-0.0043683914,0.43557763,0.95647347,-0.010448959,0.46402,0.99005115,-0.015711827,0.4608498,0.9810568,-0.016396869,0.45144352,0.96996254,-0.015355418,0.4201653,0.97535497,-0.012286381,0.44681448,0.9998005,-0.014765511,0.4439756,0.9895818,-0.012880212,0.43536532,0.9790735,-0.011300627,0.40572178,0.98856425,-0.013558618,0.4305959,1.0048116,-0.014233401,0.4280977,0.9952024,-0.009947304,0.4201404,0.9854822,-0.0072999755,0.39410204,0.997165,-0.014658475,0.41563797,1.0085068,-0.014324819,0.4147451,1.0009078,-0.009607483,0.4080236,0.99350876,-0.005834245
320.0,0.50797606,0.90805817,1.5452768e-07,0.47910246,0.90736735,-0.0036478387,0.45462528,0.9269986,-0.0053993072,0.4431518,0.9493619,-0.0059558917,0.4386493,0.9653039,-0.0066827247,0.46269256,0.93699193,-0.012959657,0.4445778,0.96085715,-0.017981488,0.43406358,0.9714249,-0.019953169,0.42762896,0.97694427,-0.020503009,0.47745273,0.95131445,-0.012653357,0.45714572,0.97303987,-0.015749494,0.44849494,0.9771617,-0.015183543,0.4435874,0.9781275,-0.01478792,0.49081442,0.962076,-0.011927344,0.47032237,0.97974026,-0.0136833275,0.4648378,0.97827464,-0.010287647,0.46344712,0.9755604,-0.008173486,0.5011842,0.96978706,-0.011459846,0.48143288,0.9828136,-0.011972194,0.47766152,0.97870296,-0.008110681,0.47899684,0.9745304,-0.0050917007,0.37724262,0.9216681,-1.8175609e-07,0.41172138,0.92030364,0.00091139827,0.44003135,0.9343087,-0.0001390398,0.45622078,0.9500434,-0.0015855028,0.4627955,0.9603223,-0.0021227838,0.4352988,0.956284,-0.009110196,0.4647037,0.9882058,-0.013675699,0.45954758,0.97910357,-0.014087192,0.44925746,0.96855706,-0.0129921455,0.42004877,0.9751297,-0.011140148,0.4467673,0.9981895,-0.012853308,0.44273674,0.9876076,-0.010879011,0.43366474,0.9774146,-0.009387289,0.40569523,0.9884365,-0.012556261,0.43069404,1.0043474,-0.0126190055,0.427589,0.99452716,-0.008593487,0.41934806,0.9849152,-0.006239006,0.39395615,0.99712294,-0.013717373,0.41536537,1.0084534,-0.012738152,0.414206,1.0006965,-0.007920866,0.40715733,0.99311775,-0.0042168275
360.0,0.50852257,0.9066622,9.766911e-08,0.47950664,0.90683556,-0.0029170408,0.45465487,0.92632157,-0.004408534,0.44226825,0.9482616,-0.0049211136,0.4370605,0.9641843,-0.0054655327,0.46382585,0.9368974,-0.011446889,0.44626668,0.9594556,-0.01607033,0.43817994,0.96619004,-0.017850729,0.43430042,0.96852505,-0.018295674,0.47833598,0.95078063,-0.011299751,0.45859933,0.9710741,-0.014179426,0.4532386,0.9708532,-0.013698246,0.45223162,0.96835417,-0.013441537,0.4914389,0.961486,-0.010743416,0.4713101,0.9789977,-0.0122315,0.4681177,0.975155,-0.009084492,0.46957517,0.97007376,-0.007251499,0.50150454,0.9695035,-0.01034152,0.48180994,0.9828996,-0.010524042,0.47885957,0.97788966,-0.0069384007,0.48128718,0.97263026,-0.004287138,0.37806508,0.921437,-1.8774334e-07,0.41221803,0.92066216,0.0010542615,0.43959656,0.9355622,1.1652245e-05,0.45487058,0.95334417,-0.0014792653,0.46050718,0.9660723,-0.0019858999,0.4352826,0.95645416,-0.008995151,0.46432543,0.98919,-0.0138761895,0.4588754,0.9795441,-0.014449882,0.44822595,0.96862084,-0.013383609,0.42021474,0.97490305,-0.011088974,0.4466293,0.99860585,-0.013160904,0.4423821,0.9880189,-0.011262917,0.4330641,0.97770625,-0.009705726,0.4059522,0.988111,-0.012590558,0.43044743,1.004278,-0.012886333,0.42711678,0.9944311,-0.008723142,0.41877392,0.9848204,-0.00619493,0.39419842,0.9969159,-0.013854674,0.41529807,1.0085595,-0.013177707,0.41393596,1.0006804,-0.008470993,0.40693954,0.993041,-0.00478161
