time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,-0.009802889,-0.47768155,-0.441003,0.9997788,-0.004984025,-0.51997,-0.42743954,0.9992899,-0.004659187,-0.52020514,-0.4265301,0.99936944,-0.004644856,-0.52059716,-0.42770055,0.9989912,-0.03806839,-0.51402843,-0.4318517,0.999403,-0.03783898,-0.5147501,-0.43343413,0.999566,-0.038442723,-0.51593727,-0.43279624,0.999485,0.036473725,-0.5277724,-0.30882263,0.99936634,-0.118261606,-0.5074328,-0.33996132,0.99983144,0.007851027,-0.46231794,-0.39689487,0.99994266,-0.036899775,-0.45316318,-0.40392473,0.9999752,0.13363251,-0.37745923,-0.20815992,0.9995443,-0.19679461,-0.33234453,-0.30796528,0.9998417,0.15189196,-0.1262,-0.25914747,0.9897742,-0.1502279,-0.10166404,-0.34770495,0.99726236,-0.00750605,-0.0031003777,-0.35147655,0.90458643,0.103239894,0.014203427,-0.39281023,0.9756395,-0.037005577,0.04277633,-0.38699132,0.7951533,0.18190451,0.05487905,-0.42087865,0.935142,-0.07534685,0.017037826,-0.38235205,0.794777,0.21412903,0.016344573,-0.4076309,0.9339457,-0.031026881,-0.0023438528,-0.34849048,0.76881844,0.13324973,0.009279343,-0.3874517,0.9140073,0.1173445,-0.021089729,0.027872387,0.98903745,-0.118412115,0.020614274,-0.026658935,0.9937763,0.20311135,0.16947633,-0.25080135,0.7047881,0.01772841,0.13844512,-0.3674939,0.6898827,0.1922357,0.37338284,-0.010870507,0.17980167,0.10613638,0.3931188,-0.10427068,0.18799445,0.2008316,0.40515554,0.008515848,0.26305366,0.11394298,0.4335563,-0.07857751,0.19774146,0.23434389,0.46009463,-0.062056288,0.1530684,0.12770797,0.49628878,-0.16185118,0.14040112
40.0,0.0044669486,-0.49217826,-0.43190676,0.9997528,0.0060542515,-0.53449845,-0.41708973,0.99924874,0.0063058203,-0.5347411,-0.41625315,0.99933064,0.006277948,-0.53507614,-0.4174651,0.9989422,-0.02612793,-0.5270929,-0.42340153,0.99935174,-0.025967758,-0.52776486,-0.42498985,0.99952334,-0.02646673,-0.5289336,-0.42437467,0.99944144,0.041395202,-0.539864,-0.2969544,0.99933743,-0.11032172,-0.51363593,-0.33445007,0.9998132,0.021405246,-0.47611168,-0.38751212,0.99994135,-0.021860957,-0.46554166,-0.39650837,0.9999738,0.14108172,-0.3862918,-0.18566027,0.999556,-0.1859285,-0.33914503,-0.30809042,0.9998459,0.15898687,-0.14165236,-0.25260186,0.9899641,-0.124969155,-0.120492406,-0.3490971,0.9974074,-0.0048665805,-0.03932712,-0.35460782,0.9088445,0.1179232,-0.00020386228,-0.39312944,0.9764471,-0.035782333,0.0073410426,-0.3907707,0.80278647,0.19096275,0.047167573,-0.42090592,0.93696415,-0.07393093,-0.022853423,-0.38547617,0.80227005,0.22437432,0.010811243,-0.40955472,0.93594676,-0.028827019,-0.04030542,-0.35221577,0.7769489,0.14748646,-0.0023550005,-0.3883942,0.9170542,0.116997264,-0.021270987,0.031222368,0.98824066,-0.118081585,0.020785348,-0.030067109,0.9932283,0.19124049,0.14548692,-0.25084332,0.7054018,0.03298054,0.18266836,-0.3498726,0.6847899,0.19314073,0.37417766,-0.053046774,0.17698015,0.10600973,0.4261873,-0.108616054,0.1762848,0.20226884,0.40756527,-0.039799716,0.2620804,0.11336406,0.46466738,-0.085547,0.18849592,0.23545407,0.46307066,-0.1162526,0.15082593,0.13177721,0.5183803,-0.1677137,0.1322125
80.0,0.0111619,-0.5020533,-0.42389694,0.99973595,0.012345348,-0.5441688,-0.40816638,0.99922097,0.01256633,-0.5444768,-0.407327,0.9993107,0.012539382,-0.54471433,-0.4085692,0.99891096,-0.019512644,-0.53635734,-0.4150371,0.9993122,-0.019383978,-0.5369792,-0.41663003,0.99949175,-0.01985111,-0.53816545,-0.41600698,0.99940157,0.046689283,-0.547214,-0.28806823,0.999324,-0.10395484,-0.51909745,-0.32711062,0.9998007,0.028140584,-0.4850773,-0.3800119,0.999941,-0.014881852,-0.47416812,-0.38942158,0.9999727,0.14746206,-0.3899051,-0.17981355,0.9995625,-0.17961673,-0.34477773,-0.30588543,0.9998471,0.16270386,-0.14900103,-0.25275847,0.99023426,-0.11531377,-0.13248624,-0.3482001,0.99750084,-0.004885624,-0.06124028,-0.3657408,0.91338164,0.12330297,-0.0206684,-0.39310414,0.9769884,-0.03670585,-0.01679748,-0.40321442,0.81171453,0.19546592,0.02621973,-0.4206085,0.9385674,-0.07444596,-0.050558265,-0.39680853,0.811086,0.22766444,-0.009473469,-0.41006887,0.9376247,-0.028872672,-0.06412742,-0.3635836,0.78625154,0.15214737,-0.022778757,-0.38859037,0.91937196,0.11671891,-0.021507537,0.03163217,0.98758197,-0.11781994,0.021017315,-0.030508492,0.9928377,0.18723264,0.10325002,-0.25084254,0.70675045,0.03819153,0.17961656,-0.3495993,0.68430924,0.19334644,0.35439992,-0.06032385,0.17468524,0.108337276,0.42374858,-0.108676024,0.16591531,0.20266083,0.39034766,-0.04735828,0.26217943,0.115313634,0.46250734,-0.08548961,0.18090387,0.2356411,0.4453078,-0.12213946,0.14892218,0.13825597,0.5114987,-0.16622128,0.12476624
120.0,0.009747488,-0.5052136,-0.42397928,0.99973303,0.011699952,-0.54715973,-0.40818575,0.9992237,0.0119403815,-0.5474649,-0.40733954,0.99931437,0.011909412,-0.5477248,-0.40858397,0.99892026,-0.020399835,-0.5388091,-0.41476074,0.9993096,-0.020271026,-0.5394645,-0.416313,0.9994914,-0.020752124,-0.54063094,-0.41573235,0.9994022,0.046572138,-0.5490911,-0.28795037,0.99932915,-0.10460125,-0.51938653,-0.32542932,0.99979955,0.026858976,-0.48813406,-0.38024065,0.9999426,-0.016314326,-0.47657472,-0.38925207,0.9999732,0.14920948,-0.3903474,-0.17667784,0.9995721,-0.17964295,-0.3451086,-0.30565554,0.9998522,0.16347,-0.14883772,-0.24933836,0.99043345,-0.11518557,-0.13304625,-0.34826687,0.99763197,-0.0021679548,-0.05471527,-0.36523035,0.9162616,0.12236326,-0.020401575,-0.39397308,0.9777101,-0.03338001,-0.008593473,-0.40276495,0.81708884,0.19499533,0.027554251,-0.4215219,0.94037247,-0.07188537,-0.03962274,-0.39727503,0.8165923,0.22713329,-0.007426022,-0.41436878,0.9396372,-0.026678212,-0.05608322,-0.36335242,0.7922507,0.15131871,-0.021769177,-0.39066243,0.922234,0.11693417,-0.021350168,0.032572094,0.9870047,-0.11806669,0.020847425,-0.031410165,0.9924382,0.17944695,0.11441168,-0.27563578,0.7109215,0.03704458,0.18830706,-0.3549319,0.68495554,0.19045556,0.38293636,-0.10542007,0.17381471,0.09531062,0.44903022,-0.1609396,0.1589915,0.1997015,0.41922337,-0.09466518,0.26636195,0.10135842,0.489393,-0.14223786,0.17598015,0.23012702,0.47369358,-0.17727527,0.1481906,0.121558405,0.54010105,-0.23283581,0.11955763
160.0,0.00899225,-0.5068313,-0.42305115,0.9997283,0.010938978,-0.5489914,-0.40672016,0.9992301,0.011184496,-0.54933876,-0.4058996,0.99932206,0.011161184,-0.5495936,-0.40717083,0.9989395,-0.021218102,-0.54041004,-0.41326103,0.99930316,-0.021076819,-0.5410249,-0.41478524,0.9994844,-0.021565113,-0.54221296,-0.41423538,0.99939495,0.0463899,-0.5509506,-0.285796,0.99934024,-0.104946464,-0.52008754,-0.32269332,0.9997924,0.02649097,-0.48988676,-0.37939847,0.9999439,-0.016776914,-0.47800753,-0.38821477,0.9999732,0.15047309,-0.39130905,-0.17472272,0.99958175,-0.17978823,-0.3450293,-0.30457363,0.9998526,0.16641763,-0.15011306,-0.24909687,0.99063534,-0.11523194,-0.13245606,-0.34835267,0.99774045,0.0034152763,-0.0515861,-0.3685467,0.91876173,0.122283146,-0.020678697,-0.39674643,0.97823185,-0.02624966,-0.0039652386,-0.4068867,0.82159865,0.1946236,0.027546449,-0.42459333,0.9416466,-0.06578666,-0.03375697,-0.4032544,0.82120603,0.22681853,-0.006902255,-0.4196938,0.9410988,-0.02129421,-0.052012075,-0.36770275,0.7978907,0.15130617,-0.02185419,-0.39442232,0.9244519,0.1172508,-0.021503063,0.033475515,0.98643106,-0.1183981,0.020984782,-0.03230388,0.9917496,0.18052737,0.11433446,-0.29259148,0.71621686,0.035867207,0.18635473,-0.35567006,0.6836785,0.19039634,0.376468,-0.12403478,0.17258927,0.09488872,0.44019234,-0.16996656,0.152108,0.19950414,0.4132966,-0.11304985,0.26989314,0.10087198,0.48015258,-0.15172876,0.17162617,0.22968698,0.46906212,-0.19822104,0.14655998,0.12120571,0.5352206,-0.24648803,0.114260286
200.0,0.008298368,-0.51018226,-0.4154921,0.99973184,0.0103849415,-0.55205196,-0.39910656,0.9992455,0.010637278,-0.55239946,-0.39829007,0.9993396,0.010614254,-0.5526852,-0.39959767,0.9989662,-0.021832237,-0.54344326,-0.40505627,0.99930876,-0.021684762,-0.54407215,-0.40654784,0.9994903,-0.022182904,-0.5452507,-0.40603548,0.99939847,0.046256885,-0.55374545,-0.27830997,0.99936247,-0.105202444,-0.522479,-0.31202355,0.9997921,0.025999574,-0.49351954,-0.3720226,0.9999466,-0.017313177,-0.48149496,-0.37990123,0.9999742,0.15225738,-0.39281863,-0.16612461,0.9996011,-0.18025187,-0.34729087,-0.29276854,0.9998577,0.16647021,-0.15063763,-0.24075034,0.9908407,-0.11591256,-0.134404,-0.337965,0.9978199,0.0038449054,-0.05086812,-0.36756682,0.9215251,0.121662356,-0.027596164,-0.39346185,0.9785088,-0.025586054,-0.0018641702,-0.40644735,0.8271561,0.19370309,0.021212062,-0.42289156,0.9426198,-0.065257356,-0.030877035,-0.40229526,0.8270724,0.22610506,-0.013626061,-0.4195511,0.9423675,-0.020774895,-0.05069792,-0.36747858,0.80476594,0.15074985,-0.028798558,-0.39239743,0.92651916,0.11784804,-0.021063494,0.03480338,0.9860206,-0.11901449,0.020529458,-0.033625416,0.99123126,0.17544754,0.12009252,-0.30045992,0.7228014,0.036525164,0.18158956,-0.36454123,0.68878543,0.18827766,0.3826341,-0.14560941,0.17318611,0.088207796,0.44288284,-0.2092344,0.14931476,0.19710279,0.41898072,-0.13603315,0.27783343,0.09219375,0.48466468,-0.19392644,0.17294872,0.22528441,0.47236714,-0.22428824,0.14551815,0.11202312,0.5335834,-0.29517248,0.11141747
240.0,0.007808147,-0.5114663,-0.40026233,0.99973893,0.009979895,-0.5532198,-0.38452023,0.9992668,0.010236099,-0.5535793,-0.38370278,0.99935913,0.010215041,-0.5538623,-0.3850188,0.99899524,-0.022301089,-0.5449357,-0.39027858,0.99932516,-0.022147613,-0.54552066,-0.39178598,0.99950314,-0.022652308,-0.546691,-0.39129046,0.99941206,0.046174232,-0.5559738,-0.26500452,0.9993823,-0.105460085,-0.5256342,-0.29860967,0.99979526,0.025570648,-0.49533063,-0.35707727,0.99994934,-0.017816685,-0.48361692,-0.3648796,0.9999754,0.15182357,-0.39532202,-0.15379825,0.99961585,-0.18047425,-0.35051817,-0.27910572,0.9998642,0.16555436,-0.15308018,-0.22284825,0.990885,-0.11667726,-0.13750134,-0.3227283,0.9978917,0.0050563044,-0.050111063,-0.3516648,0.92406887,0.12060324,-0.034000054,-0.383552,0.9790621,-0.023309316,-0.00015010263,-0.38945127,0.8328858,0.1891431,0.014742348,-0.4137909,0.944305,-0.0626289,-0.028727805,-0.38987198,0.833038,0.22122945,-0.02084524,-0.4120829,0.9442714,-0.019090394,-0.049602356,-0.35279033,0.81199706,0.14929038,-0.03577821,-0.3832972,0.9293611,0.11823094,-0.020647673,0.03580955,0.98523563,-0.1194043,0.020100607,-0.034633406,0.99066275,0.1708583,0.12422932,-0.29734722,0.72868735,0.03418774,0.17568272,-0.37622508,0.69706386,0.18817696,0.38858995,-0.14494462,0.17409,0.08376266,0.4466079,-0.22608492,0.1489185,0.19703911,0.4252208,-0.13561404,0.28611687,0.08776319,0.48974925,-0.2111082,0.17781605,0.22525077,0.47738907,-0.22220212,0.14518838,0.10848918,0.53645605,-0.31355178,0.110038266
280.0,0.007621359,-0.5121631,-0.39968482,0.99974185,0.009759185,-0.55397993,-0.3840826,0.99927956,0.010009618,-0.5543394,-0.38325104,0.9993716,0.009995272,-0.55461305,-0.3845677,0.99901265,-0.022442443,-0.54589325,-0.38999647,0.999333,-0.022284593,-0.5464628,-0.39151627,0.9995092,-0.022777671,-0.54763544,-0.3910135,0.9994178,0.045567174,-0.55703384,-0.2642133,0.999395,-0.10580924,-0.5274436,-0.2986504,0.99979615,0.025443373,-0.4960174,-0.3563613,0.9999514,-0.018064128,-0.48457113,-0.36435905,0.9999763,0.15152931,-0.39673272,-0.15406887,0.9996271,-0.18169965,-0.35227352,-0.27756414,0.9998688,0.16529635,-0.15559906,-0.22120482,0.9909255,-0.11759211,-0.13839693,-0.32102975,0.9979573,0.007972777,-0.04977922,-0.34950867,0.92636156,0.11877803,-0.03623001,-0.3816796,0.9796306,-0.019181892,0.001062917,-0.38746116,0.83774483,0.18585175,0.012438804,-0.41175714,0.94590163,-0.05883723,-0.027243871,-0.38866368,0.83811724,0.21763739,-0.023183066,-0.41025686,0.94606537,-0.01600564,-0.048880365,-0.35075158,0.81822664,0.14721628,-0.0381932,-0.38134852,0.9319408,0.11844661,-0.020577025,0.036061548,0.98451275,-0.119623944,0.020023696,-0.03488924,0.99025565,0.17110254,0.12623088,-0.2948197,0.7333575,0.033344094,0.1742302,-0.38469082,0.7031748,0.18827899,0.38768736,-0.13687931,0.17468572,0.08481104,0.44449115,-0.22444306,0.14789042,0.19716612,0.4239751,-0.12683442,0.29300025,0.08923751,0.4871445,-0.20824479,0.18013628,0.22540829,0.47642753,-0.21060222,0.14541419,0.109651595,0.5349572,-0.30648082,0.10866854
320.0,0.007388716,-0.5118451,-0.39804706,0.99974614,0.009571322,-0.55362916,-0.38257292,0.99929255,0.009822331,-0.55398047,-0.38172653,0.9993841,0.009817021,-0.5542605,-0.3830211,0.99902755,-0.022623627,-0.54580945,-0.38846195,0.9993412,-0.022451408,-0.54638946,-0.38998306,0.9995165,-0.022944529,-0.5475605,-0.3894515,0.99942404,0.045630142,-0.55668896,-0.26230955,0.99940586,-0.1058168,-0.5282237,-0.2970655,0.9997982,0.025243107,-0.4956348,-0.3545439,0.9999535,-0.018221453,-0.48450238,-0.36256903,0.99997723,0.15145312,-0.39651486,-0.15282834,0.9996382,-0.18191755,-0.35369638,-0.27429894,0.9998732,0.16498035,-0.15547709,-0.2210366,0.9910105,-0.11827434,-0.1405546,-0.31847906,0.9980169,0.00771578,-0.050551202,-0.34804684,0.9287833,0.11851055,-0.040977757,-0.3789528,0.9801597,-0.019668909,0.0010069187,-0.38611278,0.8426188,0.18583643,0.007327718,-0.4093965,0.94736433,-0.059225,-0.027084354,-0.387216,0.84323585,0.21765293,-0.028567169,-0.40750232,0.94771904,-0.016258113,-0.04956675,-0.34900072,0.8241593,0.14700669,-0.04311564,-0.37850106,0.9342206,0.118788086,-0.020246658,0.036096472,0.9840788,-0.11997116,0.01968571,-0.034924135,0.99003774,0.16650291,0.12769786,-0.2941335,0.73639506,0.033142168,0.16805921,-0.39289433,0.7081765,0.18763764,0.38746855,-0.13299657,0.17399856,0.08453237,0.44216526,-0.22456767,0.146998,0.19674116,0.4235587,-0.12246784,0.29884586,0.08910517,0.4844714,-0.20744146,0.18247123,0.22464757,0.47597998,-0.20567061,0.14504309,0.10799388,0.5332443,-0.30470264,0.10769182
360.0,0.007120763,-0.51127595,-0.39975914,0.9997469,0.009382571,-0.5531253,-0.3842453,0.99930584,0.009633882,-0.5534697,-0.38339886,0.99939424,0.009630072,-0.55375373,-0.38468304,0.9990455,-0.022796018,-0.54532325,-0.39020267,0.99934775,-0.022622121,-0.54590625,-0.39173457,0.99951917,-0.023117375,-0.5470817,-0.39118758,0.999428,0.045417964,-0.55640477,-0.263577,0.99941593,-0.10628453,-0.52797955,-0.29886743,0.99979854,0.025007054,-0.49505696,-0.35610867,0.9999549,-0.018451056,-0.48396307,-0.36426046,0.9999777,0.15131468,-0.396594,-0.15417242,0.99964744,-0.182222,-0.35362965,-0.27611464,0.99987596,0.16473666,-0.1552949,-0.22098821,0.991035,-0.118675545,-0.1409452,-0.32014388,0.9980639,0.007814219,-0.05023992,-0.3445773,0.93092144,0.11746234,-0.041106187,-0.37899634,0.98055565,-0.019821728,0.0012776273,-0.3820824,0.846648,0.18464284,0.0066407076,-0.4088684,0.94824904,-0.059370164,-0.027048977,-0.3828022,0.84736073,0.21648975,-0.02961365,-0.40607163,0.94872355,-0.016193181,-0.049455713,-0.34511915,0.8288873,0.14587949,-0.043560702,-0.37810928,0.9357466,0.11879276,-0.02027278,0.036301427,0.98406386,-0.11997446,0.019710721,-0.03514102,0.9900871,0.1677098,0.12514047,-0.29276758,0.73636764,0.032996457,0.16759622,-0.39584726,0.7104678,0.18926765,0.3808092,-0.1260031,0.17123295,0.08780309,0.42896226,-0.2125638,0.14265531,0.19884261,0.4171198,-0.11471494,0.29954523,0.09285447,0.4686429,-0.19467106,0.18035771,0.22957934,0.46832657,-0.19949973,0.14400439,0.11462656,0.51485044,-0.29641804,0.10481397
