start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,stationary,6.273519829846919e-05,0.8958333730697632,0.10416664183139801
0.25,1.25,0.75,stationary,5.714071448892355e-05,0.7453953623771667,0.25460466742515564
0.5,1.5,1.0,stationary,0.0002471449552103877,0.8592586517333984,0.14074133336544037
0.75,1.75,1.25,stationary,0.6121606230735779,0.9742423892021179,0.025757592171430588
1.0,2.0,1.5,stationary,0.24575893580913544,0.9573755860328674,0.04262442886829376
1.25,2.25,1.75,nodding,0.9965773224830627,0.9813157320022583,0.018684208393096924
1.5,2.5,2.0,stationary,0.05847751721739769,0.9591267704963684,0.04087324067950249
1.75,2.75,2.25,stationary,0.4134065806865692,0.9699987173080444,0.03000127337872982
2.0,3.0,2.5,stationary,0.02269848622381687,0.9874272346496582,0.012572724372148514
2.25,3.25,2.75,undefined,0.786636471748352,0.36001822352409363,0.639981746673584
2.5,3.5,3.0,undefined,0.9745685458183289,0.8015012741088867,0.1984987109899521
