start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,undefined,0.999970555305481,0.7563707232475281,0.24362927675247192
0.25,1.25,0.75,nodding,0.9999939799308777,0.9704678654670715,0.02953209914267063
0.5,1.5,1.0,undefined,0.9999540448188782,0.5203765630722046,0.47962334752082825
0.75,1.75,1.25,nodding,0.9999831318855286,0.9577670097351074,0.04223299399018288
1.0,2.0,1.5,undefined,0.999980092048645,0.9075953364372253,0.09240461140871048
1.25,2.25,1.75,undefined,0.9999815225601196,0.8739931583404541,0.1260068565607071
1.5,2.5,2.0,undefined,0.9999467134475708,0.6966623067855835,0.3033376634120941
1.75,2.75,2.25,nodding,0.9999882578849792,0.9681638479232788,0.03183618560433388
2.0,3.0,2.5,nodding,0.9999944567680359,0.9774678945541382,0.022532105445861816
2.25,3.25,2.75,nodding,0.9999915957450867,0.9789838194847107,0.021016214042901993
2.5,3.5,3.0,undefined,0.9999909400939941,0.9270909428596497,0.07290907949209213
2.75,3.75,3.25,undefined,0.9999951720237732,0.9424108266830444,0.05758916586637497
