start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,stationary,0.16441816091537476,0.05497903376817703,0.9450209736824036
0.25,1.25,0.75,undefined,0.9204502701759338,0.10783518105745316,0.8921647667884827
0.5,1.5,1.0,undefined,0.9962072968482971,0.11667310446500778,0.8833269476890564
0.75,1.75,1.25,stationary,0.0011385660618543625,0.08213074505329132,0.9178692698478699
1.0,2.0,1.5,undefined,0.941475510597229,0.6482604146003723,0.3517395555973053
1.25,2.25,1.75,stationary,0.20659571886062622,0.7805078029632568,0.21949221193790436
1.5,2.5,2.0,stationary,0.020355893298983574,0.9286808371543884,0.07131917774677277
1.75,2.75,2.25,undefined,0.9592987895011902,0.9311561584472656,0.06884381920099258
2.0,3.0,2.5,stationary,0.0042241779156029224,0.9773617386817932,0.022638238966464996
2.25,3.25,2.75,stationary,0.4834241271018982,0.8812142610549927,0.11878576874732971
2.5,3.5,3.0,stationary,0.0004584273847285658,0.9788240194320679,0.021175924688577652
2.75,3.75,3.25,stationary,0.00037637786590494215,0.9245181679725647,0.07548191398382187
3.0,4.0,3.5,stationary,0.29129281640052795,0.8643583059310913,0.13564170897006989
3.25,4.25,3.75,stationary,0.0018539760494604707,0.913468599319458,0.08653140068054199
3.5,4.5,4.0,stationary,0.005858761258423328,0.9220474362373352,0.07795252650976181
3.75,4.75,4.25,stationary,0.0007533775642514229,0.980289876461029,0.019710153341293335
4.0,5.0,4.5,stationary,3.543050479493104e-05,0.9394478797912598,0.060552142560482025
4.25,5.25,4.75,stationary,0.003619731403887272,0.9300639033317566,0.069936104118824
4.5,5.5,5.0,stationary,0.28193387389183044,0.917699933052063,0.08230002969503403
4.75,5.75,5.25,undefined,0.8505555987358093,0.5545282959938049,0.4454716742038727
5.0,6.0,5.5,stationary,0.24561500549316406,0.31461313366889954,0.6853868961334229
