start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,0.8341666666666667,0.41708333333333336,turning,1.0,0.014641803689301014,0.9853582382202148
0.25,1.0841666666666667,0.6670833333333334,turning,1.0,0.031002715229988098,0.9689973592758179
0.5,1.3341666666666667,0.9170833333333334,turning,1.0,0.02045423910021782,0.9795458316802979
0.75,1.5841666666666667,1.1670833333333333,turning,1.0,0.02525659091770649,0.9747434258460999
1.0,1.8341666666666667,1.4170833333333333,turning,1.0,0.01099595706909895,0.9890040755271912
1.25,2.0841666666666665,1.6670833333333333,turning,1.0,0.011755064129829407,0.988244891166687
1.5,2.3341666666666665,1.9170833333333333,turning,1.0,0.011406508274376392,0.9885934591293335
1.75,2.5841666666666665,2.1670833333333333,turning,1.0,0.016646523028612137,0.9833534955978394
2.0,2.8341666666666665,2.4170833333333333,turning,1.0,0.011115465313196182,0.9888845682144165
2.25,3.0841666666666665,2.6670833333333333,turning,1.0,0.018018227070569992,0.9819818139076233
2.5,3.3341666666666665,2.9170833333333333,turning,1.0,0.017737969756126404,0.9822620153427124
2.75,3.5841666666666665,3.1670833333333333,turning,1.0,0.03800923004746437,0.9619908332824707
3.0,3.8341666666666665,3.4170833333333333,turning,1.0,0.014406228438019753,0.9855937361717224
3.25,4.0841666666666665,3.6670833333333333,turning,1.0,0.01611408218741417,0.9838858842849731
3.5,4.3341666666666665,3.9170833333333333,turning,1.0,0.0243950467556715,0.9756048917770386
3.75,4.5841666666666665,4.167083333333333,turning,1.0,0.026742488145828247,0.9732575416564941
4.0,4.8341666666666665,4.417083333333333,turning,1.0,0.03235749900341034,0.9676424860954285
4.25,5.0841666666666665,4.667083333333333,turning,1.0,0.0192243829369545,0.9807755947113037
4.5,5.3341666666666665,4.917083333333333,turning,1.0,0.02345886267721653,0.9765412211418152
4.75,5.5841666666666665,5.167083333333333,turning,1.0,0.01881386525928974,0.9811861515045166
5.0,5.8341666666666665,5.417083333333333,turning,1.0,0.010040977038443089,0.9899590611457825
5.25,6.0841666666666665,5.667083333333333,turning,1.0,0.018873782828450203,0.9811262488365173
5.5,6.3341666666666665,5.917083333333333,turning,1.0,0.029628202319145203,0.9703717827796936
5.75,6.5841666666666665,6.167083333333333,turning,1.0,0.01736050471663475,0.9826395511627197
6.0,6.8341666666666665,6.417083333333333,turning,1.0,0.019189829006791115,0.9808102250099182
6.25,7.0841666666666665,6.667083333333333,turning,1.0,0.044206928461790085,0.9557930827140808
6.5,7.3341666666666665,6.917083333333333,turning,1.0,0.016115715727210045,0.9838842749595642
6.75,7.5841666666666665,7.167083333333333,turning,1.0,0.011315216310322285,0.9886848330497742
7.0,7.8341666666666665,7.417083333333333,turning,1.0,0.007809102069586515,0.9921908974647522
7.25,8.084166666666667,7.667083333333333,turning,1.0,0.01897774450480938,0.981022298336029
7.5,8.334166666666667,7.917083333333333,turning,1.0,0.019872495904564857,0.9801274538040161
7.75,8.584166666666667,8.167083333333334,turning,1.0,0.014019232243299484,0.985980749130249
8.0,8.834166666666667,8.417083333333334,turning,1.0,0.016192536801099777,0.983807384967804
8.25,9.084166666666667,8.667083333333334,turning,1.0,0.02703920379281044,0.9729607701301575
8.5,9.334166666666667,8.917083333333334,turning,0.9999998807907104,0.006363368593156338,0.9936366081237793
8.75,9.584166666666667,9.167083333333334,turning,1.0,0.014662317931652069,0.9853376746177673
9.0,9.834166666666667,9.417083333333334,turning,1.0,0.024991951882839203,0.9750081300735474
