start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,stationary,8.550992788514122e-06,0.48125824332237244,0.51874178647995
0.25,1.25,0.75,stationary,0.007408930454403162,0.672615647315979,0.3273843824863434
0.5,1.5,1.0,stationary,0.013223792426288128,0.9558672904968262,0.0441327765583992
0.75,1.75,1.25,stationary,0.022410904988646507,0.9062364101409912,0.09376358240842819
1.0,2.0,1.5,stationary,0.00037702516419813037,0.8119497895240784,0.18805022537708282
1.25,2.25,1.75,stationary,0.45884740352630615,0.8474286198616028,0.15257138013839722
1.5,2.5,2.0,stationary,1.3632424270326737e-05,0.7527436017990112,0.24725638329982758
